i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.698379097,1.85171683e-05,1.18478472e-06,8.83671112e-06,5.03900671e-06,1.86339671e-05,74737604300.0,3.6979445,0.285879097,25.9507446,1e-06,1e-05,ff
1e-05,0.4125,1.65,0.923459262,2.49613249e-05,1.18478472e-06,8.83671112e-06,9.96817972e-06,2.48194129e-05,56111644200.0,2.4898641,0.510959262,34.5649554,1e-06,1e-05,ff
1.5e-05,0.4125,1.65,1.10464947,2.88058893e-05,1.18478472e-06,8.83671112e-06,1.477368e-05,2.77763865e-05,50138201400.0,1.88012644,0.692149469,38.6830087,1e-06,1e-05,ff
2e-05,0.4125,1.65,1.26725715,3.13092503e-05,1.18478472e-06,8.83671112e-06,1.92835167e-05,2.6964381e-05,51648063500.0,1.39831242,0.85475715,37.5521627,1e-06,1e-05,ff
2.5e-05,0.4125,1.65,1.41926671,3.29517235e-05,1.18478472e-06,8.83671112e-06,2.31200751e-05,2.32467097e-05,59907749600.0,1.00547726,1.00676671,32.3747177,1e-06,1e-05,ff
3e-05,0.4125,1.65,1.56489049,3.39970295e-05,1.18478472e-06,8.83671112e-06,2.62200373e-05,1.93300518e-05,72046266400.0,0.737224421,1.15239049,26.9201525,1e-06,1e-05,ff
5e-06,0.825,1.65,0.698379116,1.85171689e-05,7.86849177e-06,2.28676023e-05,5.03900706e-06,1.86339677e-05,11253486900.0,3.69794436,0.126620884,3.90748922,1e-06,1e-05,ff
1e-05,0.825,1.65,0.923459262,2.49613249e-05,7.86849177e-06,2.28676023e-05,9.96817971e-06,2.48194129e-05,8448915100.0,2.48986411,0.0984592617,5.2045592,1e-06,1e-05,ff
1.5e-05,0.825,1.65,1.10464947,2.88058893e-05,7.86849177e-06,2.28676023e-05,1.477368e-05,2.77763865e-05,7549474140.0,1.88012644,0.279649469,5.82462804,1e-06,1e-05,ff
2e-05,0.825,1.65,1.26725715,3.13092503e-05,7.86849177e-06,2.28676023e-05,1.92835167e-05,2.6964381e-05,7776819040.0,1.39831242,0.44225715,5.65435283,1e-06,1e-05,ff
2.5e-05,0.825,1.65,1.41926671,3.29517235e-05,7.86849177e-06,2.28676023e-05,2.31200751e-05,2.32467097e-05,9020507190.0,1.00547726,0.594266712,4.87476789,1e-06,1e-05,ff
3e-05,0.825,1.65,1.56489049,3.39970295e-05,7.86849177e-06,2.28676023e-05,2.62200373e-05,1.93300518e-05,10848243700.0,0.737224421,0.739890489,4.05345604,1e-06,1e-05,ff
5e-06,1.2375,1.65,0.698379116,1.85171689e-05,1.92341836e-05,3.12238202e-05,5.03900706e-06,1.86339677e-05,4603677030.0,3.69794436,0.539120884,1.59851062,1e-06,1e-05,ff
1e-05,1.2375,1.65,0.923459262,2.49613249e-05,1.92341836e-05,3.12238202e-05,9.96817971e-06,2.48194129e-05,3456357720.0,2.48986411,0.314040738,2.12912761,1e-06,1e-05,ff
1.5e-05,1.2375,1.65,1.10464947,2.88058893e-05,1.92341836e-05,3.12238202e-05,1.477368e-05,2.77763865e-05,3088406370.0,1.88012644,0.132850531,2.38279091,1e-06,1e-05,ff
2e-05,1.2375,1.65,1.26725715,3.13092503e-05,1.92341836e-05,3.12238202e-05,1.92835167e-05,2.6964381e-05,3181410660.0,1.39831242,0.0297571505,2.31313321,1e-06,1e-05,ff
2.5e-05,1.2375,1.65,1.41926671,3.29517235e-05,1.92341836e-05,3.12238202e-05,2.31200751e-05,2.32467097e-05,3690189730.0,1.00547726,0.181766712,1.99421363,1e-06,1e-05,ff
3e-05,1.2375,1.65,1.56489049,3.39970295e-05,1.92341836e-05,3.12238202e-05,2.62200373e-05,1.93300518e-05,4437896500.0,0.737224421,0.327390489,1.65822403,1e-06,1e-05,ff
5e-06,1.65,1.65,0.698379116,1.85171689e-05,3.29258097e-05,3.44063049e-05,5.03900705e-06,1.86339677e-05,2689317890.0,3.69794436,0.951620884,0.933797742,1e-06,1e-05,ff
1e-05,1.65,1.65,0.923459262,2.49613249e-05,3.29258097e-05,3.44063049e-05,9.96817971e-06,2.48194129e-05,2019091390.0,2.48986411,0.726540738,1.24376687,1e-06,1e-05,ff
1.5e-05,1.65,1.65,1.10464947,2.88058893e-05,3.29258097e-05,3.44063049e-05,1.477368e-05,2.77763865e-05,1804146220.0,1.88012644,0.545350531,1.39194869,1e-06,1e-05,ff
2e-05,1.65,1.65,1.26725715,3.13092503e-05,3.29258097e-05,3.44063049e-05,1.92835167e-05,2.6964381e-05,1858476290.0,1.39831242,0.38274285,1.35125694,1e-06,1e-05,ff
2.5e-05,1.65,1.65,1.41926671,3.29517235e-05,3.29258097e-05,3.44063049e-05,2.31200751e-05,2.32467097e-05,2155688420.0,1.00547726,0.230733288,1.16495453,1e-06,1e-05,ff
3e-05,1.65,1.65,1.56489049,3.39970295e-05,3.29258097e-05,3.44063049e-05,2.62200373e-05,1.93300518e-05,2592474320.0,0.737224421,0.0851095113,0.968680369,1e-06,1e-05,ff
5e-06,0.4125,1.6,0.698379097,1.85171683e-05,1.1816208e-06,8.82270603e-06,5.03900671e-06,1.86339671e-05,72666882600.0,3.6979445,0.285879097,25.2317388,1e-06,1e-05,ff
1e-05,0.4125,1.6,0.923459262,2.49613249e-05,1.1816208e-06,8.82270603e-06,9.96817972e-06,2.48194129e-05,54556983700.0,2.4898641,0.510959262,33.6072795,1e-06,1e-05,ff
1.5e-05,0.4125,1.6,1.10464947,2.88058893e-05,1.1816208e-06,8.82270603e-06,1.477368e-05,2.77763865e-05,48749044500.0,1.88012644,0.692149469,37.6112357,1e-06,1e-05,ff
2e-05,0.4125,1.6,1.26725715,3.13092503e-05,1.1816208e-06,8.82270603e-06,1.92835167e-05,2.6964381e-05,50217073500.0,1.39831242,0.85475715,36.5117215,1e-06,1e-05,ff
2.5e-05,0.4125,1.6,1.41926671,3.29517235e-05,1.1816208e-06,8.82270603e-06,2.31200751e-05,2.32467097e-05,58247912100.0,1.00547726,1.00676671,31.4777257,1e-06,1e-05,ff
3e-05,0.4125,1.6,1.56489049,3.39970295e-05,1.1816208e-06,8.82270603e-06,2.62200373e-05,1.93300518e-05,70050112500.0,0.737224421,1.15239049,26.1742878,1e-06,1e-05,ff
5e-06,0.825,1.6,0.698379116,1.85171689e-05,7.85848373e-06,2.28484347e-05,5.03900706e-06,1.86339677e-05,10926369600.0,3.69794436,0.126620884,3.79390598,1e-06,1e-05,ff
1e-05,0.825,1.6,0.923459262,2.49613249e-05,7.85848373e-06,2.28484347e-05,9.96817971e-06,2.48194129e-05,8203321290.0,2.48986411,0.0984592617,5.05327261,1e-06,1e-05,ff
1.5e-05,0.825,1.6,1.10464947,2.88058893e-05,7.85848373e-06,2.28484347e-05,1.477368e-05,2.77763865e-05,7330025360.0,1.88012644,0.279649469,5.65531724,1e-06,1e-05,ff
2e-05,0.825,1.6,1.26725715,3.13092503e-05,7.85848373e-06,2.28484347e-05,1.92835167e-05,2.6964381e-05,7550761780.0,1.39831242,0.44225715,5.4899916,1e-06,1e-05,ff
2.5e-05,0.825,1.6,1.41926671,3.29517235e-05,7.85848373e-06,2.28484347e-05,2.31200751e-05,2.32467097e-05,8758298290.0,1.00547726,0.594266712,4.7330677,1e-06,1e-05,ff
3e-05,0.825,1.6,1.56489049,3.39970295e-05,7.85848373e-06,2.28484347e-05,2.62200373e-05,1.93300518e-05,10532906000.0,0.737224421,0.739890489,3.93562982,1e-06,1e-05,ff
5e-06,1.2375,1.6,0.698379116,1.85171689e-05,1.92148931e-05,3.11971875e-05,5.03900706e-06,1.86339677e-05,4468653390.0,3.69794436,0.539120884,1.55162707,1e-06,1e-05,ff
1e-05,1.2375,1.6,0.923459262,2.49613249e-05,1.92148931e-05,3.11971875e-05,9.96817971e-06,2.48194129e-05,3354984400.0,2.48986411,0.314040738,2.06668131,1e-06,1e-05,ff
1.5e-05,1.2375,1.6,1.10464947,2.88058893e-05,1.92148931e-05,3.11971875e-05,1.477368e-05,2.77763865e-05,2997824890.0,1.88012644,0.132850531,2.31290479,1e-06,1e-05,ff
2e-05,1.2375,1.6,1.26725715,3.13092503e-05,1.92148931e-05,3.11971875e-05,1.92835167e-05,2.6964381e-05,3088101410.0,1.39831242,0.0297571505,2.24529012,1e-06,1e-05,ff
2.5e-05,1.2375,1.6,1.41926671,3.29517235e-05,1.92148931e-05,3.11971875e-05,2.31200751e-05,2.32467097e-05,3581958230.0,1.00547726,0.181766712,1.9357243,1e-06,1e-05,ff
3e-05,1.2375,1.6,1.56489049,3.39970295e-05,1.92148931e-05,3.11971875e-05,2.62200373e-05,1.93300518e-05,4307735120.0,0.737224421,0.327390489,1.60958912,1e-06,1e-05,ff
