i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.424085037,5.05991291e-05,5.84755709e-06,5.59395272e-05,5.62701697e-06,5.45688032e-05,5170886970.0,9.69764325,0.0115850371,15.3976308,1e-06,1e-06,tt
1e-05,0.4125,1.65,0.500525726,7.593837e-05,5.84755709e-06,5.59395272e-05,1.07478636e-05,7.96020654e-05,3544746130.0,7.40631521,0.0880257257,22.4612442,1e-06,1e-06,tt
1.5e-05,0.4125,1.65,0.557106465,9.51324312e-05,5.84755709e-06,5.59395272e-05,1.57850175e-05,9.84306916e-05,2866678160.0,6.23570368,0.144606465,27.774101,1e-06,1e-06,tt
2e-05,0.4125,1.65,0.603961505,0.000110866263,5.84755709e-06,5.59395272e-05,2.07579402e-05,0.000113776738,2480024640.0,5.48111887,0.191461505,32.1042813,1e-06,1e-06,tt
2.5e-05,0.4125,1.65,0.645039161,0.000124342971,5.84755709e-06,5.59395272e-05,2.57016192e-05,0.000126851439,2224406090.0,4.93554271,0.232539161,35.7935581,1e-06,1e-06,tt
3e-05,0.4125,1.65,0.682137485,0.000136154021,5.84755709e-06,5.59395272e-05,3.0620349e-05,0.000138249449,2041014390.0,4.51495339,0.269637485,39.0097244,1e-06,1e-06,tt
5e-06,0.825,1.65,0.424085037,5.05991291e-05,5.69026982e-05,0.000186210131,5.62701697e-06,5.45688032e-05,531381775.0,9.69764325,0.400914963,1.58232436,1e-06,1e-06,tt
1e-05,0.825,1.65,0.500525726,7.593837e-05,5.69026982e-05,0.000186210131,1.07478636e-05,7.96020654e-05,364272803.0,7.40631521,0.324474274,2.30821054,1e-06,1e-06,tt
1.5e-05,0.825,1.65,0.557106465,9.51324312e-05,5.69026982e-05,0.000186210131,1.57850175e-05,9.84306916e-05,294591728.0,6.23570368,0.267893535,2.85418172,1e-06,1e-06,tt
2e-05,0.825,1.65,0.603961505,0.000110866263,5.69026982e-05,0.000186210131,2.07579402e-05,0.000113776738,254857610.0,5.48111887,0.221038495,3.29916899,1e-06,1e-06,tt
2.5e-05,0.825,1.65,0.645039161,0.000124342971,5.69026982e-05,0.000186210131,2.57016192e-05,0.000126851439,228589188.0,4.93554271,0.179960839,3.67829437,1e-06,1e-06,tt
3e-05,0.825,1.65,0.682137485,0.000136154021,5.69026982e-05,0.000186210131,3.0620349e-05,0.000138249449,209743097.0,4.51495339,0.142862515,4.00880094,1e-06,1e-06,tt
5e-06,1.2375,1.65,0.424085037,5.05991291e-05,0.0001507484,0.000257959132,5.62701697e-06,5.45688032e-05,200579620.0,9.69764325,0.813414963,0.597276824,1e-06,1e-06,tt
1e-05,1.2375,1.65,0.500525726,7.593837e-05,0.0001507484,0.000257959132,1.07478636e-05,7.96020654e-05,137501330.0,7.40631521,0.736974274,0.871275637,1e-06,1e-06,tt
1.5e-05,1.2375,1.65,0.557106465,9.51324312e-05,0.0001507484,0.000257959132,1.57850175e-05,9.84306916e-05,111198953.0,6.23570368,0.680393535,1.07736229,1e-06,1e-06,tt
2e-05,1.2375,1.65,0.603961505,0.000110866263,0.0001507484,0.000257959132,2.07579402e-05,0.000113776738,96200594.5,5.48111887,0.633538495,1.24533075,1e-06,1e-06,tt
2.5e-05,1.2375,1.65,0.645039161,0.000124342971,0.0001507484,0.000257959132,2.57016192e-05,0.000126851439,86285105.7,4.93554271,0.592460839,1.38843845,1e-06,1e-06,tt
3e-05,1.2375,1.65,0.682137485,0.000136154021,0.0001507484,0.000257959132,3.0620349e-05,0.000138249449,79171309.1,4.51495339,0.555362515,1.51319411,1e-06,1e-06,tt
5e-06,1.65,1.65,0.424085037,5.05991291e-05,0.000262536106,0.000277343092,5.62701697e-06,5.45688032e-05,115172946.0,9.69764325,1.22591496,0.342956734,1e-06,1e-06,tt
1e-05,1.65,1.65,0.500525726,7.593837e-05,0.000262536106,0.000277343092,1.07478636e-05,7.96020654e-05,78953351.3,7.40631521,1.14947427,0.500287028,1e-06,1e-06,tt
1.5e-05,1.65,1.65,0.557106465,9.51324312e-05,0.000262536106,0.000277343092,1.57850175e-05,9.84306916e-05,63850509.8,6.23570368,1.09289353,0.618622116,1e-06,1e-06,tt
2e-05,1.65,1.65,0.603961505,0.000110866263,0.000262536106,0.000277343092,2.07579402e-05,0.000113776738,55238442.9,5.48111887,1.0460385,0.715069713,1e-06,1e-06,tt
2.5e-05,1.65,1.65,0.645039161,0.000124342971,0.000262536106,0.000277343092,2.57016192e-05,0.000126851439,49544962.8,4.93554271,1.00496084,0.797242246,1e-06,1e-06,tt
3e-05,1.65,1.65,0.682137485,0.000136154021,0.000262536106,0.000277343092,3.0620349e-05,0.000138249449,45460216.3,4.51495339,0.967862515,0.868877025,1e-06,1e-06,tt
5e-06,0.4125,1.6,0.424085037,5.05991291e-05,5.80566845e-06,5.56941597e-05,5.62701697e-06,5.45688032e-05,5050371470.0,9.69764325,0.0115850371,15.0387653,1e-06,1e-06,tt
1e-05,0.4125,1.6,0.500525726,7.593837e-05,5.80566845e-06,5.56941597e-05,1.07478636e-05,7.96020654e-05,3462130360.0,7.40631521,0.0880257257,21.9377503,1e-06,1e-06,tt
1.5e-05,0.4125,1.6,0.557106465,9.51324312e-05,5.80566845e-06,5.56941597e-05,1.57850175e-05,9.84306916e-05,2799865800.0,6.23570368,0.144606465,27.1267827,1e-06,1e-06,tt
2e-05,0.4125,1.6,0.603961505,0.000110866263,5.80566845e-06,5.56941597e-05,2.07579402e-05,0.000113776738,2422223840.0,5.48111887,0.191461505,31.3560415,1e-06,1e-06,tt
2.5e-05,0.4125,1.6,0.645039161,0.000124342971,5.80566845e-06,5.56941597e-05,2.57016192e-05,0.000126851439,2172562870.0,4.93554271,0.232539161,34.959334,1e-06,1e-06,tt
3e-05,0.4125,1.6,0.682137485,0.000136154021,5.80566845e-06,5.56941597e-05,3.0620349e-05,0.000138249449,1993445400.0,4.51495339,0.269637485,38.1005425,1e-06,1e-06,tt
5e-06,0.825,1.6,0.424085037,5.05991291e-05,5.67355954e-05,0.00018585033,5.62701697e-06,5.45688032e-05,516796944.0,9.69764325,0.400914963,1.53889431,1e-06,1e-06,tt
1e-05,0.825,1.6,0.500525726,7.593837e-05,5.67355954e-05,0.00018585033,1.07478636e-05,7.96020654e-05,354274611.0,7.40631521,0.324474274,2.24485711,1e-06,1e-06,tt
1.5e-05,0.825,1.6,0.557106465,9.51324312e-05,5.67355954e-05,0.00018585033,1.57850175e-05,9.84306916e-05,286506071.0,6.23570368,0.267893535,2.77584302,1e-06,1e-06,tt
2e-05,0.825,1.6,0.603961505,0.000110866263,5.67355954e-05,0.00018585033,2.07579402e-05,0.000113776738,247862535.0,5.48111887,0.221038495,3.20861673,1e-06,1e-06,tt
2.5e-05,0.825,1.6,0.645039161,0.000124342971,5.67355954e-05,0.00018585033,2.57016192e-05,0.000126851439,222315103.0,4.93554271,0.179960839,3.57733626,1e-06,1e-06,tt
3e-05,0.825,1.6,0.682137485,0.000136154021,5.67355954e-05,0.00018585033,3.0620349e-05,0.000138249449,203986280.0,4.51495339,0.142862515,3.89877142,1e-06,1e-06,tt
5e-06,1.2375,1.6,0.424085037,5.05991291e-05,0.000150407361,0.000257455256,5.62701697e-06,5.45688032e-05,194942469.0,9.69764325,0.813414963,0.580490772,1e-06,1e-06,tt
1e-05,1.2375,1.6,0.500525726,7.593837e-05,0.000150407361,0.000257455256,1.07478636e-05,7.96020654e-05,133636950.0,7.40631521,0.736974274,0.846789038,1e-06,1e-06,tt
1.5e-05,1.2375,1.6,0.557106465,9.51324312e-05,0.000150407361,0.000257455256,1.57850175e-05,9.84306916e-05,108073783.0,6.23570368,0.680393535,1.04708377,1e-06,1e-06,tt
2e-05,1.2375,1.6,0.603961505,0.000110866263,0.000150407361,0.000257455256,2.07579402e-05,0.000113776738,93496943.4,5.48111887,0.633538495,1.21033159,1e-06,1e-06,tt
2.5e-05,1.2375,1.6,0.645039161,0.000124342971,0.000150407361,0.000257455256,2.57016192e-05,0.000126851439,83860122.5,4.93554271,0.592460839,1.34941735,1e-06,1e-06,tt
3e-05,1.2375,1.6,0.682137485,0.000136154021,0.000150407361,0.000257455256,3.0620349e-05,0.000138249449,76946254.3,4.51495339,0.555362515,1.47066684,1e-06,1e-06,tt
5e-06,1.65,1.6,0.424085037,5.05991291e-05,0.00026189547,0.000276249213,5.62701697e-06,5.45688032e-05,111956050.0,9.69764325,1.22591496,0.333377608,1e-06,1e-06,tt
1e-05,1.65,1.6,0.500525726,7.593837e-05,0.00026189547,0.000276249213,1.07478636e-05,7.96020654e-05,76748104.9,7.40631521,1.14947427,0.486313508,1e-06,1e-06,tt
1.5e-05,1.65,1.6,0.557106465,9.51324312e-05,0.00026189547,0.000276249213,1.57850175e-05,9.84306916e-05,62067100.9,6.23570368,1.09289353,0.601343378,1e-06,1e-06,tt
2e-05,1.65,1.6,0.603961505,0.000110866263,0.00026189547,0.000276249213,2.07579402e-05,0.000113776738,53695577.6,5.48111887,1.0460385,0.695097097,1e-06,1e-06,tt
2.5e-05,1.65,1.6,0.645039161,0.000124342971,0.00026189547,0.000276249213,2.57016192e-05,0.000126851439,48161122.2,4.93554271,1.00496084,0.774974469,1e-06,1e-06,tt
3e-05,1.65,1.6,0.682137485,0.000136154021,0.00026189547,0.000276249213,3.0620349e-05,0.000138249449,44190466.8,4.51495339,0.967862515,0.844608416,1e-06,1e-06,tt
5e-06,0.4125,1.2375,0.424085037,5.05991291e-05,5.47398966e-06,5.37301359e-05,5.62701697e-06,5.45688032e-05,4142827080.0,9.69764325,0.0115850371,12.3363211,1e-06,1e-06,tt
1e-05,0.4125,1.2375,0.500525726,7.593837e-05,5.47398966e-06,5.37301359e-05,1.07478636e-05,7.96020654e-05,2839990580.0,7.40631521,0.0880257257,17.9955685,1e-06,1e-06,tt
1.5e-05,0.4125,1.2375,0.557106465,9.51324312e-05,5.47398966e-06,5.37301359e-05,1.57850175e-05,9.84306916e-05,2296734000.0,6.23570368,0.144606465,22.2521394,1e-06,1e-06,tt
2e-05,0.4125,1.2375,0.603961505,0.000110866263,5.47398966e-06,5.37301359e-05,2.07579402e-05,0.000113776738,1986953740.0,5.48111887,0.191461505,25.7214065,1e-06,1e-06,tt
2.5e-05,0.4125,1.2375,0.645039161,0.000124342971,5.47398966e-06,5.37301359e-05,2.57016192e-05,0.000126851439,1782156490.0,4.93554271,0.232539161,28.6771926,1e-06,1e-06,tt
3e-05,0.4125,1.2375,0.682137485,0.000136154021,5.47398966e-06,5.37301359e-05,3.0620349e-05,0.000138249449,1635226160.0,4.51495339,0.269637485,31.2539306,1e-06,1e-06,tt
