i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.60822219,2.80655904e-05,1.27908278e-06,1.29852428e-05,5.11983946e-06,2.85194301e-05,45231860300.0,5.57037585,0.19572219,36.7896906,1e-06,4e-06,ss
1e-05,0.4125,1.65,0.751922484,3.98631993e-05,1.27908278e-06,1.29852428e-05,1.00601631e-05,4.00425947e-05,32215366900.0,3.98031267,0.339422484,51.6544217,1e-06,4e-06,ss
1.5e-05,0.4125,1.65,0.863169259,4.80595166e-05,1.27908278e-06,1.29852428e-05,1.49644204e-05,4.79526306e-05,26901274500.0,3.2044429,0.450669259,61.8582643,1e-06,4e-06,ss
2e-05,0.4125,1.65,0.95864761,5.42773302e-05,1.27908278e-06,1.29852428e-05,1.9831099e-05,5.38402463e-05,23959527800.0,2.71494012,0.54614761,69.4532112,1e-06,4e-06,ss
2.5e-05,0.4125,1.65,1.04481514,5.92053476e-05,1.27908278e-06,1.29852428e-05,2.46694449e-05,5.8314881e-05,22121058200.0,2.36385056,0.63231514,75.2254314,1e-06,4e-06,ss
3e-05,0.4125,1.65,1.12471602,6.31996513e-05,1.27908278e-06,1.29852428e-05,2.9465731e-05,6.15774575e-05,20949011700.0,2.08979908,0.712216023,79.4341122,1e-06,4e-06,ss
5e-06,0.825,1.65,0.608222462,2.80656135e-05,1.37502177e-05,4.67178606e-05,5.1198472e-06,2.85194528e-05,4207587730.0,5.57037187,0.216777538,3.42228015,1e-06,4e-06,ss
1e-05,0.825,1.65,0.751922484,3.98631993e-05,1.37502177e-05,4.67178606e-05,1.00601631e-05,4.00425947e-05,2996761340.0,3.98031267,0.0730775161,4.80503527,1e-06,4e-06,ss
1.5e-05,0.825,1.65,0.863169259,4.80595166e-05,1.37502177e-05,4.67178606e-05,1.49644204e-05,4.79526306e-05,2502429970.0,3.2044429,0.0381692594,5.75422455,1e-06,4e-06,ss
2e-05,0.825,1.65,0.95864761,5.42773302e-05,1.37502177e-05,4.67178606e-05,1.9831099e-05,5.38402463e-05,2228780660.0,2.71494012,0.13364761,6.46072724,1e-06,4e-06,ss
2.5e-05,0.825,1.65,1.04481514,5.92053476e-05,1.37502177e-05,4.67178606e-05,2.46694449e-05,5.8314881e-05,2057761200.0,2.36385056,0.21981514,6.99767491,1e-06,4e-06,ss
3e-05,0.825,1.65,1.12471602,6.31996513e-05,1.37502177e-05,4.67178606e-05,2.9465731e-05,6.15774575e-05,1948734240.0,2.08979908,0.299716023,7.38917789,1e-06,4e-06,ss
5e-06,1.2375,1.65,0.608222462,2.80656135e-05,3.80747856e-05,6.87533194e-05,5.1198472e-06,2.85194528e-05,1519516040.0,5.57037187,0.629277538,1.23591234,1e-06,4e-06,ss
1e-05,1.2375,1.65,0.751922484,3.98631993e-05,3.80747856e-05,6.87533194e-05,1.00601631e-05,4.00425947e-05,1082241710.0,3.98031267,0.485577516,1.73527651,1e-06,4e-06,ss
1.5e-05,1.2375,1.65,0.863169259,4.80595166e-05,3.80747856e-05,6.87533194e-05,1.49644204e-05,4.79526306e-05,903720308.0,3.2044429,0.374330741,2.07806398,1e-06,4e-06,ss
2e-05,1.2375,1.65,0.95864761,5.42773302e-05,3.80747856e-05,6.87533194e-05,1.9831099e-05,5.38402463e-05,804895391.0,2.71494012,0.27885239,2.33320832,1e-06,4e-06,ss
2.5e-05,1.2375,1.65,1.04481514,5.92053476e-05,3.80747856e-05,6.87533194e-05,2.46694449e-05,5.8314881e-05,743133919.0,2.36385056,0.19268486,2.52712004,1e-06,4e-06,ss
3e-05,1.2375,1.65,1.12471602,6.31996513e-05,3.80747856e-05,6.87533194e-05,2.9465731e-05,6.15774575e-05,703760236.0,2.08979908,0.112783977,2.6685063,1e-06,4e-06,ss
5e-06,1.65,1.65,0.608222462,2.80656135e-05,6.86769145e-05,7.78243822e-05,5.1198472e-06,2.85194528e-05,842426423.0,5.57037187,1.04177754,0.685195273,1e-06,4e-06,ss
1e-05,1.65,1.65,0.751922484,3.98631993e-05,6.86769145e-05,7.78243822e-05,1.00601631e-05,4.00425947e-05,599999597.0,3.98031267,0.898077516,0.962044985,1e-06,4e-06,ss
1.5e-05,1.65,1.65,0.863169259,4.80595166e-05,6.86769145e-05,7.78243822e-05,1.49644204e-05,4.79526306e-05,501026541.0,3.2044429,0.786830741,1.15208788,1e-06,4e-06,ss
