 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  3.54049850e-01  6.09665600e-05  1.29087572e-05  1.09989909e-04  6.08193987e-06  6.93601521e-05  1.84284784e+09  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  4.16330090e-01  9.33493184e-05  1.29087572e-05  1.09989909e-04  1.13943212e-05  1.01690831e-04  1.25694917e+09  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  4.61732372e-01  1.18357618e-04  1.29087572e-05  1.09989909e-04  1.65715422e-05  1.26461823e-04  1.01074145e+09  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  4.98924001e-01  1.39170265e-04  1.29087572e-05  1.09989909e-04  2.16561011e-05  1.46963581e-04  8.69740686e+08  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  5.31270577e-01  1.57253838e-04  1.29087572e-05  1.09989909e-04  2.66971208e-05  1.64692280e-04  7.76115346e+08  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  5.60281832e-01  1.73314082e-04  1.29087572e-05  1.09989909e-04  3.17030834e-05  1.80367281e-04  7.08666259e+08  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  3.54049822e-01  6.09665463e-05  1.04290009e-04  3.19945286e-04  6.08193794e-06  6.93601383e-05  2.28103152e+08  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  4.16330090e-01  9.33493185e-05  1.04290009e-04  3.19945286e-04  1.13943212e-05  1.01690831e-04  1.55582032e+08  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  4.61732372e-01  1.18357618e-04  1.04290009e-04  3.19945286e-04  1.65715422e-05  1.26461823e-04  1.25107054e+08  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  4.98924001e-01  1.39170265e-04  1.04290009e-04  3.19945286e-04  2.16561011e-05  1.46963581e-04  1.07654332e+08  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.65000000e+00  5.31270577e-01  1.57253838e-04  1.04290009e-04  3.19945286e-04  2.66971208e-05  1.64692280e-04  9.60656210e+07  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.65000000e+00  5.60281832e-01  1.73314082e-04  1.04290009e-04  3.19945286e-04  3.17030834e-05  1.80367281e-04  8.77169413e+07  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.65000000e+00  3.54049822e-01  6.09665463e-05  2.60757943e-04  4.20426403e-04  6.08193794e-06  6.93601383e-05  9.12297422e+07  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.65000000e+00  4.16330090e-01  9.33493185e-05  2.60757943e-04  4.20426403e-04  1.13943212e-05  1.01690831e-04  6.22249562e+07  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.65000000e+00  4.61732372e-01  1.18357618e-04  2.60757943e-04  4.20426403e-04  1.65715422e-05  1.26461823e-04  5.00365040e+07  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.65000000e+00  4.98924001e-01  1.39170265e-04  2.60757943e-04  4.20426403e-04  2.16561011e-05  1.46963581e-04  4.30562965e+07  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.65000000e+00  5.31270577e-01  1.57253838e-04  2.60757943e-04  4.20426403e-04  2.66971208e-05  1.64692280e-04  3.84213973e+07  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.65000000e+00  5.60281832e-01  1.73314082e-04  2.60757943e-04  4.20426403e-04  3.17030834e-05  1.80367281e-04  3.50823470e+07  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.65000000e+00  3.54049822e-01  6.09665463e-05  4.39427758e-04  4.35010542e-04  6.08193794e-06  6.93601383e-05  5.41360428e+07  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  1.65000000e+00  1.65000000e+00  4.16330090e-01  9.33493185e-05  4.39427758e-04  4.35010542e-04  1.13943212e-05  1.01690831e-04  3.69245031e+07  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  1.65000000e+00  1.65000000e+00  4.61732372e-01  1.18357618e-04  4.39427758e-04  4.35010542e-04  1.65715422e-05  1.26461823e-04  2.96918336e+07  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  1.65000000e+00  1.65000000e+00  4.98924001e-01  1.39170265e-04  4.39427758e-04  4.35010542e-04  2.16561011e-05  1.46963581e-04  2.55497544e+07  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  1.65000000e+00  1.65000000e+00  5.31270577e-01  1.57253838e-04  4.39427758e-04  4.35010542e-04  2.66971208e-05  1.64692280e-04  2.27993893e+07  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  1.65000000e+00  1.65000000e+00  5.60281832e-01  1.73314082e-04  4.39427758e-04  4.35010542e-04  3.17030834e-05  1.80367281e-04  2.08179854e+07  1.00000000e-06  6.00000000e-07 
 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.60000000e+00  3.54049850e-01  6.09665600e-05  1.28130389e-05  1.09486565e-04  6.08193987e-06  6.93601521e-05  1.80035356e+09  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.60000000e+00  4.16330090e-01  9.33493184e-05  1.28130389e-05  1.09486565e-04  1.13943212e-05  1.01690831e-04  1.22796515e+09  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.60000000e+00  4.61732372e-01  1.18357618e-04  1.28130389e-05  1.09486565e-04  1.65715422e-05  1.26461823e-04  9.87434734e+08  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.60000000e+00  4.98924001e-01  1.39170265e-04  1.28130389e-05  1.09486565e-04  2.16561011e-05  1.46963581e-04  8.49685315e+08  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.60000000e+00  5.31270577e-01  1.57253838e-04  1.28130389e-05  1.09486565e-04  2.66971208e-05  1.64692280e-04  7.58218884e+08  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.60000000e+00  5.60281832e-01  1.73314082e-04  1.28130389e-05  1.09486565e-04  3.17030834e-05  1.80367281e-04  6.92325107e+08  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.60000000e+00  3.54049822e-01  6.09665463e-05  1.03933203e-04  3.19185158e-04  6.08193794e-06  6.93601383e-05  2.21950291e+08  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.60000000e+00  4.16330090e-01  9.33493185e-05  1.03933203e-04  3.19185158e-04  1.13943212e-05  1.01690831e-04  1.51385358e+08  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.60000000e+00  4.61732372e-01  1.18357618e-04  1.03933203e-04  3.19185158e-04  1.65715422e-05  1.26461823e-04  1.21732413e+08  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.60000000e+00  4.98924001e-01  1.39170265e-04  1.03933203e-04  3.19185158e-04  2.16561011e-05  1.46963581e-04  1.04750461e+08  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.60000000e+00  5.31270577e-01  1.57253838e-04  1.03933203e-04  3.19185158e-04  2.66971208e-05  1.64692280e-04  9.34743443e+07  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.60000000e+00  5.60281832e-01  1.73314082e-04  1.03933203e-04  3.19185158e-04  3.17030834e-05  1.80367281e-04  8.53508621e+07  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.60000000e+00  3.54049822e-01  6.09665463e-05  2.60012136e-04  4.19214125e-04  6.08193794e-06  6.93601383e-05  8.87189539e+07  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.60000000e+00  4.16330090e-01  9.33493185e-05  2.60012136e-04  4.19214125e-04  1.13943212e-05  1.01690831e-04  6.05124260e+07  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.60000000e+00  4.61732372e-01  1.18357618e-04  2.60012136e-04  4.19214125e-04  1.65715422e-05  1.26461823e-04  4.86594195e+07  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.60000000e+00  4.98924001e-01  1.39170265e-04  2.60012136e-04  4.19214125e-04  2.16561011e-05  1.46963581e-04  4.18713184e+07  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.60000000e+00  5.31270577e-01  1.57253838e-04  2.60012136e-04  4.19214125e-04  2.66971208e-05  1.64692280e-04  3.73639791e+07  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.60000000e+00  5.60281832e-01  1.73314082e-04  2.60012136e-04  4.19214125e-04  3.17030834e-05  1.80367281e-04  3.41168248e+07  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.60000000e+00  3.54049822e-01  6.09665463e-05  4.37915661e-04  4.32209926e-04  6.08193794e-06  6.93601383e-05  5.26768207e+07  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  1.65000000e+00  1.60000000e+00  4.16330090e-01  9.33493185e-05  4.37915661e-04  4.32209926e-04  1.13943212e-05  1.01690831e-04  3.59292133e+07  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  1.65000000e+00  1.60000000e+00  4.61732372e-01  1.18357618e-04  4.37915661e-04  4.32209926e-04  1.65715422e-05  1.26461823e-04  2.88914984e+07  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  1.65000000e+00  1.60000000e+00  4.98924001e-01  1.39170265e-04  4.37915661e-04  4.32209926e-04  2.16561011e-05  1.46963581e-04  2.48610679e+07  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  1.65000000e+00  1.60000000e+00  5.31270577e-01  1.57253838e-04  4.37915661e-04  4.32209926e-04  2.66971208e-05  1.64692280e-04  2.21848381e+07  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  1.65000000e+00  1.60000000e+00  5.60281832e-01  1.73314082e-04  4.37915661e-04  4.32209926e-04  3.17030834e-05  1.80367281e-04  2.02568423e+07  1.00000000e-06  6.00000000e-07 
 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.23750000e+00  3.54049850e-01  6.09665600e-05  1.20551646e-05  1.05450518e-04  6.08193987e-06  6.93601521e-05  1.48000106e+09  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.23750000e+00  4.16330090e-01  9.33493184e-05  1.20551646e-05  1.05450518e-04  1.13943212e-05  1.01690831e-04  1.00946268e+09  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.23750000e+00  4.61732372e-01  1.18357618e-04  1.20551646e-05  1.05450518e-04  1.65715422e-05  1.26461823e-04  8.11731922e+08  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.23750000e+00  4.98924001e-01  1.39170265e-04  1.20551646e-05  1.05450518e-04  2.16561011e-05  1.46963581e-04  6.98493449e+08  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.23750000e+00  5.31270577e-01  1.57253838e-04  1.20551646e-05  1.05450518e-04  2.66971208e-05  1.64692280e-04  6.23302432e+08  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.23750000e+00  5.60281832e-01  1.73314082e-04  1.20551646e-05  1.05450518e-04  3.17030834e-05  1.80367281e-04  5.69133706e+08  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.23750000e+00  3.54049822e-01  6.09665463e-05  1.00996404e-04  3.12587401e-04  6.08193794e-06  6.93601383e-05  1.76656388e+08  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.23750000e+00  4.16330090e-01  9.33493185e-05  1.00996404e-04  3.12587401e-04  1.13943212e-05  1.01690831e-04  1.20491802e+08  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.23750000e+00  4.61732372e-01  1.18357618e-04  1.00996404e-04  3.12587401e-04  1.65715422e-05  1.26461823e-04  9.68902013e+07  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.23750000e+00  4.98924001e-01  1.39170265e-04  1.00996404e-04  3.12587401e-04  2.16561011e-05  1.46963581e-04  8.33737951e+07  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.23750000e+00  5.31270577e-01  1.57253838e-04  1.00996404e-04  3.12587401e-04  2.66971208e-05  1.64692280e-04  7.43988212e+07  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.23750000e+00  5.60281832e-01  1.73314082e-04  1.00996404e-04  3.12587401e-04  3.17030834e-05  1.80367281e-04  6.79331166e+07  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.23750000e+00  3.54049822e-01  6.09665463e-05  2.53349677e-04  4.06288157e-04  6.08193794e-06  6.93601383e-05  7.04230616e+07  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.23750000e+00  4.16330090e-01  9.33493185e-05  2.53349677e-04  4.06288157e-04  1.13943212e-05  1.01690831e-04  4.80333696e+07  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.23750000e+00  4.61732372e-01  1.18357618e-04  2.53349677e-04  4.06288157e-04  1.65715422e-05  1.26461823e-04  3.86247262e+07  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.23750000e+00  4.98924001e-01  1.39170265e-04  2.53349677e-04  4.06288157e-04  2.16561011e-05  1.46963581e-04  3.32364879e+07  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.23750000e+00  5.31270577e-01  1.57253838e-04  2.53349677e-04  4.06288157e-04  2.66971208e-05  1.64692280e-04  2.96586658e+07  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.23750000e+00  5.60281832e-01  1.73314082e-04  2.53349677e-04  4.06288157e-04  3.17030834e-05  1.80367281e-04  2.70811495e+07  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.23750000e+00  3.54049822e-01  6.09665463e-05  4.21994335e-04  3.96267652e-04  6.08193794e-06  6.93601383e-05  4.22793825e+07  1.00000000e-06  6.00000000e-07 
