 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  4.18740589e-01  5.25483832e-05  6.26445352e-06  6.05966330e-05  5.68437470e-06  5.70413163e-05  4.61754582e+09  1.00000000e-06  9.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  4.92111656e-01  7.91672753e-05  6.26445352e-06  6.05966330e-05  1.08265430e-05  8.33614706e-05  3.15962386e+09  1.00000000e-06  9.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  5.46262451e-01  9.94095740e-05  6.26445352e-06  6.05966330e-05  1.58787806e-05  1.03236013e-04  2.55134701e+09  1.00000000e-06  9.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  5.91011683e-01  1.16052406e-04  6.26445352e-06  6.05966330e-05  2.08632306e-05  1.19484673e-04  2.20439062e+09  1.00000000e-06  9.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  6.30183036e-01  1.30347157e-04  6.26445352e-06  6.05966330e-05  2.58168229e-05  1.33368827e-04  1.97490596e+09  1.00000000e-06  9.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  6.65512987e-01  1.42906904e-04  6.26445352e-06  6.05966330e-05  3.07443467e-05  1.45505950e-04  1.81017266e+09  1.00000000e-06  9.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  4.18740589e-01  5.25483832e-05  6.20921083e-05  2.04034355e-04  5.68437470e-06  5.70413163e-05  4.65862764e+08  1.00000000e-06  9.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  4.92111656e-01  7.91672753e-05  6.20921083e-05  2.04034355e-04  1.08265430e-05  8.33614706e-05  3.18773470e+08  1.00000000e-06  9.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  5.46262451e-01  9.94095740e-05  6.20921083e-05  2.04034355e-04  1.58787806e-05  1.03236013e-04  2.57404607e+08  1.00000000e-06  9.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  5.91011683e-01  1.16052406e-04  6.20921083e-05  2.04034355e-04  2.08632306e-05  1.19484673e-04  2.22400285e+08  1.00000000e-06  9.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.65000000e+00  6.30183036e-01  1.30347157e-04  6.20921083e-05  2.04034355e-04  2.58168229e-05  1.33368827e-04  1.99247649e+08  1.00000000e-06  9.00000000e-07 
