i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.547963333,3.45915704e-05,1.83259077e-06,1.93355843e-05,5.2153637e-06,3.55524404e-05,25324975400.0,1e-06,2.5e-06,ss
1e-05,0.4125,1.65,0.662993713,5.01156189e-05,1.83259077e-06,1.93355843e-05,1.0185993e-05,5.07633468e-05,17736511400.0,1e-06,2.5e-06,ss
1.5e-05,0.4125,1.65,0.750570348,6.13142047e-05,1.83259077e-06,1.93355843e-05,1.51141017e-05,6.16426171e-05,14606204600.0,1e-06,2.5e-06,ss
2e-05,0.4125,1.65,0.824697079,7.01150623e-05,1.83259077e-06,1.93355843e-05,2.00021688e-05,7.01165195e-05,12840977900.0,1e-06,2.5e-06,ss
2.5e-05,0.4125,1.65,0.890819327,7.73486764e-05,1.83259077e-06,1.93355843e-05,2.48697998e-05,7.70028412e-05,11692616300.0,1e-06,2.5e-06,ss
3e-05,0.4125,1.65,0.951474809,8.34375818e-05,1.83259077e-06,1.93355843e-05,2.97164536e-05,8.27037318e-05,10886627000.0,1e-06,2.5e-06,ss
5e-06,0.825,1.65,0.547963821,3.45916369e-05,2.10401984e-05,7.2624054e-05,5.21538107e-06,3.55525059e-05,2205788640.0,1e-06,2.5e-06,ss
1e-05,0.825,1.65,0.662993713,5.01156189e-05,2.10401984e-05,7.2624054e-05,1.0185993e-05,5.07633468e-05,1544841280.0,1e-06,2.5e-06,ss
1.5e-05,0.825,1.65,0.750570348,6.13142047e-05,2.10401984e-05,7.2624054e-05,1.51141017e-05,6.16426171e-05,1272193120.0,1e-06,2.5e-06,ss
2e-05,0.825,1.65,0.824697079,7.01150623e-05,2.10401984e-05,7.2624054e-05,2.00021688e-05,7.01165195e-05,1118442760.0,1e-06,2.5e-06,ss
2.5e-05,0.825,1.65,0.890819327,7.73486764e-05,2.10401984e-05,7.2624054e-05,2.48697998e-05,7.70028412e-05,1018421040.0,1e-06,2.5e-06,ss
3e-05,0.825,1.65,0.951474809,8.34375818e-05,2.10401984e-05,7.2624054e-05,2.97164536e-05,8.27037318e-05,948219771.0,1e-06,2.5e-06,ss
5e-06,1.2375,1.65,0.547963821,3.45916369e-05,5.88415977e-05,0.000106583208,5.21538107e-06,3.55525059e-05,788731653.0,1e-06,2.5e-06,ss
