i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.476439364,3.29979846e-05,3.61716705e-06,2.78201019e-05,5.25621361e-06,3.41340585e-05,13363722500.0,1e-06,3e-06,ff
1e-05,0.4125,1.65,0.597208745,4.7548402e-05,3.61716705e-06,2.78201019e-05,1.02491535e-05,4.84150377e-05,9421826530.0,1e-06,3e-06,ff
1.5e-05,0.4125,1.65,0.689549038,5.79620611e-05,3.61716705e-06,2.78201019e-05,1.51941365e-05,5.85408817e-05,7792128730.0,1e-06,3e-06,ff
2e-05,0.4125,1.65,0.767959641,6.60961334e-05,3.61716705e-06,2.78201019e-05,2.00963461e-05,6.63689186e-05,6873067930.0,1e-06,3e-06,ff
2.5e-05,0.4125,1.65,0.838073842,7.27445011e-05,3.61716705e-06,2.78201019e-05,2.49748599e-05,7.26735618e-05,6276809270.0,1e-06,3e-06,ff
3e-05,0.4125,1.65,0.902525246,7.83113458e-05,3.61716705e-06,2.78201019e-05,2.98282496e-05,7.78218628e-05,5861567300.0,1e-06,3e-06,ff
5e-06,0.825,1.65,0.476439342,3.29979818e-05,2.50951611e-05,7.39574878e-05,5.25621284e-06,3.41340558e-05,1926220770.0,1e-06,3e-06,ff
1e-05,0.825,1.65,0.597208745,4.7548402e-05,2.50951611e-05,7.39574878e-05,1.02491535e-05,4.84150377e-05,1358043500.0,1e-06,3e-06,ff
1.5e-05,0.825,1.65,0.689549038,5.79620611e-05,2.50951611e-05,7.39574878e-05,1.51941365e-05,5.85408817e-05,1123142080.0,1e-06,3e-06,ff
2e-05,0.825,1.65,0.767959641,6.60961334e-05,2.50951611e-05,7.39574878e-05,2.00963461e-05,6.63689186e-05,990670464.0,1e-06,3e-06,ff
2.5e-05,0.825,1.65,0.838073842,7.27445011e-05,2.50951611e-05,7.39574878e-05,2.49748599e-05,7.26735618e-05,904726916.0,1e-06,3e-06,ff
3e-05,0.825,1.65,0.902525246,7.83113458e-05,2.50951611e-05,7.39574878e-05,2.98282496e-05,7.78218628e-05,844874757.0,1e-06,3e-06,ff
5e-06,1.2375,1.65,0.476439342,3.29979818e-05,6.18226571e-05,0.00010068351,5.25621284e-06,3.41340558e-05,781894906.0,1e-06,3e-06,ff
1e-05,1.2375,1.65,0.597208745,4.7548402e-05,6.18226571e-05,0.00010068351,1.02491535e-05,4.84150377e-05,551259394.0,1e-06,3e-06,ff
1.5e-05,1.2375,1.65,0.689549038,5.79620611e-05,6.18226571e-05,0.00010068351,1.51941365e-05,5.85408817e-05,455907796.0,1e-06,3e-06,ff
2e-05,1.2375,1.65,0.767959641,6.60961334e-05,6.18226571e-05,0.00010068351,2.00963461e-05,6.63689186e-05,402134687.0,1e-06,3e-06,ff
2.5e-05,1.2375,1.65,0.838073842,7.27445011e-05,6.18226571e-05,0.00010068351,2.49748599e-05,7.26735618e-05,367248332.0,1e-06,3e-06,ff
3e-05,1.2375,1.65,0.902525246,7.83113458e-05,6.18226571e-05,0.00010068351,2.98282496e-05,7.78218628e-05,342953039.0,1e-06,3e-06,ff
5e-06,1.65,1.65,0.476439342,3.29979818e-05,0.00010576482,0.000109935977,5.25621284e-06,3.41340558e-05,457040636.0,1e-06,3e-06,ff
1e-05,1.65,1.65,0.597208745,4.7548402e-05,0.00010576482,0.000109935977,1.02491535e-05,4.84150377e-05,322227377.0,1e-06,3e-06,ff
1.5e-05,1.65,1.65,0.689549038,5.79620611e-05,0.00010576482,0.000109935977,1.51941365e-05,5.85408817e-05,266491555.0,1e-06,3e-06,ff
2e-05,1.65,1.65,0.767959641,6.60961334e-05,0.00010576482,0.000109935977,2.00963461e-05,6.63689186e-05,235059587.0,1e-06,3e-06,ff
2.5e-05,1.65,1.65,0.838073842,7.27445011e-05,0.00010576482,0.000109935977,2.49748599e-05,7.26735618e-05,214667483.0,1e-06,3e-06,ff
3e-05,1.65,1.65,0.902525246,7.83113458e-05,0.00010576482,0.000109935977,2.98282496e-05,7.78218628e-05,200466168.0,1e-06,3e-06,ff
5e-06,0.4125,1.6,0.476439364,3.29979846e-05,3.60267961e-06,2.77538799e-05,5.25621361e-06,3.41340585e-05,13010872200.0,1e-06,3e-06,ff
1e-05,0.4125,1.6,0.597208745,4.7548402e-05,3.60267961e-06,2.77538799e-05,1.02491535e-05,4.84150377e-05,9173056480.0,1e-06,3e-06,ff
1.5e-05,0.4125,1.6,0.689549038,5.79620611e-05,3.60267961e-06,2.77538799e-05,1.51941365e-05,5.85408817e-05,7586388560.0,1e-06,3e-06,ff
2e-05,0.4125,1.6,0.767959641,6.60961334e-05,3.60267961e-06,2.77538799e-05,2.00963461e-05,6.63689186e-05,6691594260.0,1e-06,3e-06,ff
2.5e-05,0.4125,1.6,0.838073842,7.27445011e-05,3.60267961e-06,2.77538799e-05,2.49748599e-05,7.26735618e-05,6111078970.0,1e-06,3e-06,ff
3e-05,0.4125,1.6,0.902525246,7.83113458e-05,3.60267961e-06,2.77538799e-05,2.98282496e-05,7.78218628e-05,5706800880.0,1e-06,3e-06,ff
5e-06,0.825,1.6,0.476439342,3.29979818e-05,2.50476862e-05,7.38636178e-05,5.25621284e-06,3.41340558e-05,1871390730.0,1e-06,3e-06,ff
1e-05,0.825,1.6,0.597208745,4.7548402e-05,2.50476862e-05,7.38636178e-05,1.02491535e-05,4.84150377e-05,1319386680.0,1e-06,3e-06,ff
1.5e-05,0.825,1.6,0.689549038,5.79620611e-05,2.50476862e-05,7.38636178e-05,1.51941365e-05,5.85408817e-05,1091171740.0,1e-06,3e-06,ff
2e-05,0.825,1.6,0.767959641,6.60961334e-05,2.50476862e-05,7.38636178e-05,2.00963461e-05,6.63689186e-05,962470943.0,1e-06,3e-06,ff
2.5e-05,0.825,1.6,0.838073842,7.27445011e-05,2.50476862e-05,7.38636178e-05,2.49748599e-05,7.26735618e-05,878973785.0,1e-06,3e-06,ff
3e-05,0.825,1.6,0.902525246,7.83113458e-05,2.50476862e-05,7.38636178e-05,2.98282496e-05,7.78218628e-05,820825324.0,1e-06,3e-06,ff
5e-06,1.2375,1.6,0.476439342,3.29979818e-05,6.17292052e-05,0.000100549436,5.25621284e-06,3.41340558e-05,759348962.0,1e-06,3e-06,ff
1e-05,1.2375,1.6,0.597208745,4.7548402e-05,6.17292052e-05,0.000100549436,1.02491535e-05,4.84150377e-05,535363827.0,1e-06,3e-06,ff
1.5e-05,1.2375,1.6,0.689549038,5.79620611e-05,6.17292052e-05,0.000100549436,1.51941365e-05,5.85408817e-05,442761692.0,1e-06,3e-06,ff
2e-05,1.2375,1.6,0.767959641,6.60961334e-05,6.17292052e-05,0.000100549436,2.00963461e-05,6.63689186e-05,390539131.0,1e-06,3e-06,ff
2.5e-05,1.2375,1.6,0.838073842,7.27445011e-05,6.17292052e-05,0.000100549436,2.49748599e-05,7.26735618e-05,356658724.0,1e-06,3e-06,ff
3e-05,1.2375,1.6,0.902525246,7.83113458e-05,6.17292052e-05,0.000100549436,2.98282496e-05,7.78218628e-05,333063986.0,1e-06,3e-06,ff
5e-06,1.65,1.6,0.476439342,3.29979818e-05,0.000105585803,0.000109578522,5.25621284e-06,3.41340558e-05,443942332.0,1e-06,3e-06,ff
1e-05,1.65,1.6,0.597208745,4.7548402e-05,0.000105585803,0.000109578522,1.02491535e-05,4.84150377e-05,312992679.0,1e-06,3e-06,ff
1.5e-05,1.65,1.6,0.689549038,5.79620611e-05,0.000105585803,0.000109578522,1.51941365e-05,5.85408817e-05,258854187.0,1e-06,3e-06,ff
2e-05,1.65,1.6,0.767959641,6.60961334e-05,0.000105585803,0.000109578522,2.00963461e-05,6.63689186e-05,228323026.0,1e-06,3e-06,ff
2.5e-05,1.65,1.6,0.838073842,7.27445011e-05,0.000105585803,0.000109578522,2.49748599e-05,7.26735618e-05,208515339.0,1e-06,3e-06,ff
3e-05,1.65,1.6,0.902525246,7.83113458e-05,0.000105585803,0.000109578522,2.98282496e-05,7.78218628e-05,194721018.0,1e-06,3e-06,ff
5e-06,0.4125,1.2375,0.476439364,3.29979846e-05,3.48648372e-06,2.72160429e-05,5.25621361e-06,3.41340585e-05,10398474700.0,1e-06,3e-06,ff
1e-05,0.4125,1.2375,0.597208745,4.7548402e-05,3.48648372e-06,2.72160429e-05,1.02491535e-05,4.84150377e-05,7331237560.0,1e-06,3e-06,ff
1.5e-05,0.4125,1.2375,0.689549038,5.79620611e-05,3.48648372e-06,2.72160429e-05,1.51941365e-05,5.85408817e-05,6063149930.0,1e-06,3e-06,ff
2e-05,0.4125,1.2375,0.767959641,6.60961334e-05,3.48648372e-06,2.72160429e-05,2.00963461e-05,6.63689186e-05,5348017570.0,1e-06,3e-06,ff
2.5e-05,0.4125,1.2375,0.838073842,7.27445011e-05,3.48648372e-06,2.72160429e-05,2.49748599e-05,7.26735618e-05,4884061470.0,1e-06,3e-06,ff
