i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.522046798,3.24617706e-05,2.48847956e-06,2.19989317e-05,5.21424115e-06,3.33843035e-05,19861294300.0,1e-06,3e-06,tt
1e-05,0.4125,1.65,0.645015325,4.6751648e-05,2.48847956e-06,2.19989317e-05,1.01889637e-05,4.73893196e-05,13991664800.0,1e-06,3e-06,tt
1.5e-05,0.4125,1.65,0.739083841,5.69669324e-05,2.48847956e-06,2.19989317e-05,1.51202363e-05,5.73073255e-05,11570169600.0,1e-06,3e-06,tt
2e-05,0.4125,1.65,0.819000101,6.49340018e-05,2.48847956e-06,2.19989317e-05,2.00110141e-05,6.49604647e-05,10207061800.0,1e-06,3e-06,tt
2.5e-05,0.4125,1.65,0.890494327,7.14342177e-05,2.48847956e-06,2.19989317e-05,2.48792532e-05,7.11082411e-05,9324593960.0,1e-06,3e-06,tt
3e-05,0.4125,1.65,0.956246584,7.68661404e-05,2.48847956e-06,2.19989317e-05,2.9722858e-05,7.61095338e-05,8711858330.0,1e-06,3e-06,tt
5e-06,0.825,1.65,0.522047239,3.24618228e-05,2.1334308e-05,6.76752956e-05,5.21425587e-06,3.33843548e-05,2316660510.0,1e-06,3e-06,tt
1e-05,0.825,1.65,0.645015325,4.6751648e-05,2.1334308e-05,6.76752956e-05,1.01889637e-05,4.73893196e-05,1632017870.0,1e-06,3e-06,tt
1.5e-05,0.825,1.65,0.739083841,5.69669324e-05,2.1334308e-05,6.76752956e-05,1.51202363e-05,5.73073255e-05,1349569460.0,1e-06,3e-06,tt
2e-05,0.825,1.65,0.819000101,6.49340018e-05,2.1334308e-05,6.76752956e-05,2.00110141e-05,6.49604647e-05,1190573640.0,1e-06,3e-06,tt
2.5e-05,0.825,1.65,0.890494327,7.14342177e-05,2.1334308e-05,6.76752956e-05,2.48792532e-05,7.11082411e-05,1087640690.0,1e-06,3e-06,tt
3e-05,0.825,1.65,0.956246584,7.68661404e-05,2.1334308e-05,6.76752956e-05,2.9722858e-05,7.61095338e-05,1016169890.0,1e-06,3e-06,tt
5e-06,1.2375,1.65,0.522047239,3.24618228e-05,5.57273414e-05,9.56960823e-05,5.21425587e-06,3.33843548e-05,886895870.0,1e-06,3e-06,tt
1e-05,1.2375,1.65,0.645015325,4.6751648e-05,5.57273414e-05,9.56960823e-05,1.01889637e-05,4.73893196e-05,624791549.0,1e-06,3e-06,tt
1.5e-05,1.2375,1.65,0.739083841,5.69669324e-05,5.57273414e-05,9.56960823e-05,1.51202363e-05,5.73073255e-05,516660761.0,1e-06,3e-06,tt
2e-05,1.2375,1.65,0.819000101,6.49340018e-05,5.57273414e-05,9.56960823e-05,2.00110141e-05,6.49604647e-05,455791789.0,1e-06,3e-06,tt
2.5e-05,1.2375,1.65,0.890494327,7.14342177e-05,5.57273414e-05,9.56960823e-05,2.48792532e-05,7.11082411e-05,416385582.0,1e-06,3e-06,tt
3e-05,1.2375,1.65,0.956246584,7.68661404e-05,5.57273414e-05,9.56960823e-05,2.9722858e-05,7.61095338e-05,389024146.0,1e-06,3e-06,tt
5e-06,1.65,1.65,0.522047239,3.24618228e-05,9.78835027e-05,0.000106296874,5.21425587e-06,3.33843548e-05,504930326.0,1e-06,3e-06,tt
1e-05,1.65,1.65,0.645015325,4.6751648e-05,9.78835027e-05,0.000106296874,1.01889637e-05,4.73893196e-05,355708275.0,1e-06,3e-06,tt
1.5e-05,1.65,1.65,0.739083841,5.69669324e-05,9.78835027e-05,0.000106296874,1.51202363e-05,5.73073255e-05,294146917.0,1e-06,3e-06,tt
2e-05,1.65,1.65,0.819000101,6.49340018e-05,9.78835027e-05,0.000106296874,2.00110141e-05,6.49604647e-05,259492804.0,1e-06,3e-06,tt
2.5e-05,1.65,1.65,0.890494327,7.14342177e-05,9.78835027e-05,0.000106296874,2.48792532e-05,7.11082411e-05,237057940.0,1e-06,3e-06,tt
3e-05,1.65,1.65,0.956246584,7.68661404e-05,9.78835027e-05,0.000106296874,2.9722858e-05,7.61095338e-05,221480442.0,1e-06,3e-06,tt
5e-06,0.4125,1.6,0.522046798,3.24617706e-05,2.47691996e-06,2.19382103e-05,5.21424115e-06,3.33843035e-05,19349319200.0,1e-06,3e-06,tt
1e-05,0.4125,1.6,0.645015325,4.6751648e-05,2.47691996e-06,2.19382103e-05,1.01889637e-05,4.73893196e-05,13630994300.0,1e-06,3e-06,tt
1.5e-05,0.4125,1.6,0.739083841,5.69669324e-05,2.47691996e-06,2.19382103e-05,1.51202363e-05,5.73073255e-05,11271919200.0,1e-06,3e-06,tt
2e-05,0.4125,1.6,0.819000101,6.49340018e-05,2.47691996e-06,2.19382103e-05,2.00110141e-05,6.49604647e-05,9943948970.0,1e-06,3e-06,tt
2.5e-05,0.4125,1.6,0.890494327,7.14342177e-05,2.47691996e-06,2.19382103e-05,2.48792532e-05,7.11082411e-05,9084228990.0,1e-06,3e-06,tt
3e-05,0.4125,1.6,0.956246584,7.68661404e-05,2.47691996e-06,2.19382103e-05,2.9722858e-05,7.61095338e-05,8487288170.0,1e-06,3e-06,tt
5e-06,0.825,1.6,0.522047239,3.24618228e-05,2.12922205e-05,6.75879273e-05,5.21425587e-06,3.33843548e-05,2250899160.0,1e-06,3e-06,tt
1e-05,0.825,1.6,0.645015325,4.6751648e-05,2.12922205e-05,6.75879273e-05,1.01889637e-05,4.73893196e-05,1585690970.0,1e-06,3e-06,tt
1.5e-05,0.825,1.6,0.739083841,5.69669324e-05,2.12922205e-05,6.75879273e-05,1.51202363e-05,5.73073255e-05,1311260220.0,1e-06,3e-06,tt
2e-05,0.825,1.6,0.819000101,6.49340018e-05,2.12922205e-05,6.75879273e-05,2.00110141e-05,6.49604647e-05,1156777690.0,1e-06,3e-06,tt
2.5e-05,0.825,1.6,0.890494327,7.14342177e-05,2.12922205e-05,6.75879273e-05,2.48792532e-05,7.11082411e-05,1056766630.0,1e-06,3e-06,tt
3e-05,0.825,1.6,0.956246584,7.68661404e-05,2.12922205e-05,6.75879273e-05,2.9722858e-05,7.61095338e-05,987324617.0,1e-06,3e-06,tt
5e-06,1.2375,1.6,0.522047239,3.24618228e-05,5.56428262e-05,9.55745118e-05,5.21425587e-06,3.33843548e-05,861326511.0,1e-06,3e-06,tt
1e-05,1.2375,1.6,0.645015325,4.6751648e-05,5.56428262e-05,9.55745118e-05,1.01889637e-05,4.73893196e-05,606778702.0,1e-06,3e-06,tt
1.5e-05,1.2375,1.6,0.739083841,5.69669324e-05,5.56428262e-05,9.55745118e-05,1.51202363e-05,5.73073255e-05,501765343.0,1e-06,3e-06,tt
2e-05,1.2375,1.6,0.819000101,6.49340018e-05,5.56428262e-05,9.55745118e-05,2.00110141e-05,6.49604647e-05,442651234.0,1e-06,3e-06,tt
2.5e-05,1.2375,1.6,0.890494327,7.14342177e-05,5.56428262e-05,9.55745118e-05,2.48792532e-05,7.11082411e-05,404381115.0,1e-06,3e-06,tt
3e-05,1.2375,1.6,0.956246584,7.68661404e-05,5.56428262e-05,9.55745118e-05,2.9722858e-05,7.61095338e-05,377808514.0,1e-06,3e-06,tt
5e-06,1.65,1.6,0.522047239,3.24618228e-05,9.77271778e-05,0.000106019601,5.21425587e-06,3.33843548e-05,490412621.0,1e-06,3e-06,tt
1e-05,1.65,1.6,0.645015325,4.6751648e-05,9.77271778e-05,0.000106019601,1.01889637e-05,4.73893196e-05,345480987.0,1e-06,3e-06,tt
1.5e-05,1.65,1.6,0.739083841,5.69669324e-05,9.77271778e-05,0.000106019601,1.51202363e-05,5.73073255e-05,285689635.0,1e-06,3e-06,tt
2e-05,1.65,1.6,0.819000101,6.49340018e-05,9.77271778e-05,0.000106019601,2.00110141e-05,6.49604647e-05,252031894.0,1e-06,3e-06,tt
2.5e-05,1.65,1.6,0.890494327,7.14342177e-05,9.77271778e-05,0.000106019601,2.48792532e-05,7.11082411e-05,230242074.0,1e-06,3e-06,tt
3e-05,1.65,1.6,0.956246584,7.68661404e-05,9.77271778e-05,0.000106019601,2.9722858e-05,7.61095338e-05,215112459.0,1e-06,3e-06,tt
5e-06,0.4125,1.2375,0.522046798,3.24617706e-05,2.38456938e-06,2.14480714e-05,5.21424115e-06,3.33843035e-05,15545078700.0,1e-06,3e-06,tt
1e-05,0.4125,1.2375,0.645015325,4.6751648e-05,2.38456938e-06,2.14480714e-05,1.01889637e-05,4.73893196e-05,10951025000.0,1e-06,3e-06,tt
1.5e-05,0.4125,1.2375,0.739083841,5.69669324e-05,2.38456938e-06,2.14480714e-05,1.51202363e-05,5.73073255e-05,9055764180.0,1e-06,3e-06,tt
