i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,1.2375,1.65,1.10799626,3.97294853e-05,1.40252414e-06,1.92638271e-05,5.1317336e-06,4.06575904e-05,28935564800.0,1e-06,5e-07,ff
1e-05,1.2375,1.65,1.00615731,5.76685905e-05,1.40252414e-06,1.92638271e-05,1.01843251e-05,5.84375061e-05,20131768500.0,1e-06,5e-07,ff
1.5e-05,1.2375,1.65,0.929973341,7.03760374e-05,1.40252414e-06,1.92638271e-05,1.5117995e-05,7.09265925e-05,16586872400.0,1e-06,5e-07,ff
2e-05,1.2375,1.65,0.864922268,8.04936512e-05,1.40252414e-06,1.92638271e-05,2.00560658e-05,8.0750991e-05,14568865700.0,1e-06,5e-07,ff
2.5e-05,1.2375,1.65,0.806971982,8.88664933e-05,1.40252414e-06,1.92638271e-05,2.49704154e-05,8.87240622e-05,13259653700.0,1e-06,5e-07,ff
3e-05,1.2375,1.65,0.753907395,9.59863633e-05,1.40252414e-06,1.92638271e-05,2.98562476e-05,9.53012682e-05,12344540300.0,1e-06,5e-07,ff
5e-06,0.825,1.65,1.10799596,3.97295387e-05,2.4146189e-05,8.90495332e-05,5.13174578e-06,4.06576435e-05,1680711400.0,1e-06,5e-07,ff
1e-05,0.825,1.65,1.00615732,5.76685888e-05,2.4146189e-05,8.90495332e-05,1.01843245e-05,5.84375043e-05,1169347760.0,1e-06,5e-07,ff
1.5e-05,0.825,1.65,0.929973341,7.03760374e-05,2.4146189e-05,8.90495332e-05,1.5117995e-05,7.09265925e-05,963443505.0,1e-06,5e-07,ff
2e-05,0.825,1.65,0.864922268,8.04936512e-05,2.4146189e-05,8.90495332e-05,2.00560658e-05,8.0750991e-05,846228189.0,1e-06,5e-07,ff
2.5e-05,0.825,1.65,0.806971982,8.88664933e-05,2.4146189e-05,8.90495332e-05,2.49704154e-05,8.87240622e-05,770183006.0,1e-06,5e-07,ff
