i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,1.2375,1.65,1.05420693,3.91978726e-05,6.11908619e-07,1.11437259e-05,5.10063833e-06,3.98863459e-05,67604113500.0,1e-06,5e-07,tt
1e-05,1.2375,1.65,0.950769893,5.68422571e-05,6.11908619e-07,1.11437259e-05,1.01350072e-05,5.73305355e-05,47033941600.0,1e-06,5e-07,tt
1.5e-05,1.2375,1.65,0.873355014,6.93858529e-05,6.11908619e-07,1.11437259e-05,1.5054577e-05,6.96182209e-05,38732404000.0,1e-06,5e-07,tt
2e-05,1.2375,1.65,0.807284562,7.94143016e-05,6.11908619e-07,1.11437259e-05,1.9978944e-05,7.93093394e-05,33999540000.0,1e-06,5e-07,tt
2.5e-05,1.2375,1.65,0.748467434,8.77528623e-05,6.11908619e-07,1.11437259e-05,2.48792643e-05,8.71949123e-05,30924752200.0,1e-06,5e-07,tt
3e-05,1.2375,1.65,0.694655519,9.48804609e-05,6.11908619e-07,1.11437259e-05,2.97499953e-05,9.37165831e-05,28772720500.0,1e-06,5e-07,tt
5e-06,0.825,1.65,1.05420642,3.91979606e-05,1.92031743e-05,7.90503644e-05,5.10065868e-06,3.98864333e-05,2154198490.0,1e-06,5e-07,tt
1e-05,0.825,1.65,0.950769911,5.68422542e-05,1.92031743e-05,7.90503644e-05,1.01350062e-05,5.73305326e-05,1498735330.0,1e-06,5e-07,tt
1.5e-05,0.825,1.65,0.873355014,6.93858529e-05,1.92031743e-05,7.90503644e-05,1.5054577e-05,6.96182209e-05,1234206980.0,1e-06,5e-07,tt
2e-05,0.825,1.65,0.807284562,7.94143016e-05,1.92031743e-05,7.90503644e-05,1.9978944e-05,7.93093394e-05,1083394400.0,1e-06,5e-07,tt
2.5e-05,0.825,1.65,0.748467434,8.77528623e-05,1.92031743e-05,7.90503644e-05,2.48792643e-05,8.71949123e-05,985416376.0,1e-06,5e-07,tt
3e-05,0.825,1.65,0.694655519,9.48804609e-05,1.92031743e-05,7.90503644e-05,2.97499953e-05,9.37165831e-05,916841946.0,1e-06,5e-07,tt
5e-06,0.4125,1.65,1.05420642,3.91979606e-05,6.27329418e-05,0.00012753845,5.10065868e-06,3.98864333e-05,659421477.0,1e-06,5e-07,tt
1e-05,0.4125,1.65,0.950769911,5.68422542e-05,6.27329418e-05,0.00012753845,1.01350062e-05,5.73305326e-05,458777715.0,1e-06,5e-07,tt
1.5e-05,0.4125,1.65,0.873355014,6.93858529e-05,6.27329418e-05,0.00012753845,1.5054577e-05,6.96182209e-05,377802972.0,1e-06,5e-07,tt
2e-05,0.4125,1.65,0.807284562,7.94143016e-05,6.27329418e-05,0.00012753845,1.9978944e-05,7.93093394e-05,331637748.0,1e-06,5e-07,tt
2.5e-05,0.4125,1.65,0.748467434,8.77528623e-05,6.27329418e-05,0.00012753845,2.48792643e-05,8.71949123e-05,301645704.0,1e-06,5e-07,tt
3e-05,0.4125,1.65,0.694655519,9.48804609e-05,6.27329418e-05,0.00012753845,2.97499953e-05,9.37165831e-05,280654393.0,1e-06,5e-07,tt
5e-06,0.0,1.65,1.05420642,3.91979606e-05,0.000121078417,0.0001516095,5.10065868e-06,3.98864333e-05,341658326.0,1e-06,5e-07,tt
1e-05,0.0,1.65,0.950769911,5.68422542e-05,0.000121078417,0.0001516095,1.01350062e-05,5.73305326e-05,237701123.0,1e-06,5e-07,tt
1.5e-05,0.0,1.65,0.873355014,6.93858529e-05,0.000121078417,0.0001516095,1.5054577e-05,6.96182209e-05,195746628.0,1e-06,5e-07,tt
2e-05,0.0,1.65,0.807284562,7.94143016e-05,0.000121078417,0.0001516095,1.9978944e-05,7.93093394e-05,171827582.0,1e-06,5e-07,tt
2.5e-05,0.0,1.65,0.748467434,8.77528623e-05,0.000121078417,0.0001516095,2.48792643e-05,8.71949123e-05,156288155.0,1e-06,5e-07,tt
3e-05,0.0,1.65,0.694655519,9.48804609e-05,0.000121078417,0.0001516095,2.97499953e-05,9.37165831e-05,145412173.0,1e-06,5e-07,tt
5e-06,1.1875,1.6,1.05420693,3.91978726e-05,5.15382063e-07,9.89625405e-06,5.10063833e-06,3.98863459e-05,77833477000.0,1e-06,5e-07,tt
1e-05,1.1875,1.6,0.950769893,5.68422571e-05,5.15382063e-07,9.89625405e-06,1.01350072e-05,5.73305355e-05,54150776100.0,1e-06,5e-07,tt
1.5e-05,1.1875,1.6,0.873355014,6.93858529e-05,5.15382063e-07,9.89625405e-06,1.5054577e-05,6.96182209e-05,44593110100.0,1e-06,5e-07,tt
2e-05,1.1875,1.6,0.807284562,7.94143016e-05,5.15382063e-07,9.89625405e-06,1.9978944e-05,7.93093394e-05,39144103500.0,1e-06,5e-07,tt
2.5e-05,1.1875,1.6,0.748467434,8.77528623e-05,5.15382063e-07,9.89625405e-06,2.48792643e-05,8.71949123e-05,35604061100.0,1e-06,5e-07,tt
3e-05,1.1875,1.6,0.694655519,9.48804609e-05,5.15382063e-07,9.89625405e-06,2.97499953e-05,9.37165831e-05,33126399700.0,1e-06,5e-07,tt
5e-06,0.775,1.6,1.05420642,3.91979606e-05,1.8387552e-05,7.71990402e-05,5.10065868e-06,3.98864333e-05,2181578610.0,1e-06,5e-07,tt
1e-05,0.775,1.6,0.950769911,5.68422542e-05,1.8387552e-05,7.71990402e-05,1.01350062e-05,5.73305326e-05,1517784430.0,1e-06,5e-07,tt
1.5e-05,0.775,1.6,0.873355014,6.93858529e-05,1.8387552e-05,7.71990402e-05,1.5054577e-05,6.96182209e-05,1249893900.0,1e-06,5e-07,tt
2e-05,0.775,1.6,0.807284562,7.94143016e-05,1.8387552e-05,7.71990402e-05,1.9978944e-05,7.93093394e-05,1097164470.0,1e-06,5e-07,tt
2.5e-05,0.775,1.6,0.748467434,8.77528623e-05,1.8387552e-05,7.71990402e-05,2.48792643e-05,8.71949123e-05,997941132.0,1e-06,5e-07,tt
3e-05,0.775,1.6,0.694655519,9.48804609e-05,1.8387552e-05,7.71990402e-05,2.97499953e-05,9.37165831e-05,928495114.0,1e-06,5e-07,tt
5e-06,0.3625,1.6,1.05420642,3.91979606e-05,6.12365154e-05,0.000126104596,5.10065868e-06,3.98864333e-05,655064872.0,1e-06,5e-07,tt
1e-05,0.3625,1.6,0.950769911,5.68422542e-05,6.12365154e-05,0.000126104596,1.01350062e-05,5.73305326e-05,455746704.0,1e-06,5e-07,tt
1.5e-05,0.3625,1.6,0.873355014,6.93858529e-05,6.12365154e-05,0.000126104596,1.5054577e-05,6.96182209e-05,375306938.0,1e-06,5e-07,tt
2e-05,0.3625,1.6,0.807284562,7.94143016e-05,6.12365154e-05,0.000126104596,1.9978944e-05,7.93093394e-05,329446715.0,1e-06,5e-07,tt
2.5e-05,0.3625,1.6,0.748467434,8.77528623e-05,6.12365154e-05,0.000126104596,2.48792643e-05,8.71949123e-05,299652819.0,1e-06,5e-07,tt
3e-05,0.3625,1.6,0.694655519,9.48804609e-05,6.12365154e-05,0.000126104596,2.97499953e-05,9.37165831e-05,278800191.0,1e-06,5e-07,tt
5e-06,-0.05,1.6,1.05420642,3.91979606e-05,0.000119024598,0.000150204281,5.10065868e-06,3.98864333e-05,337021848.0,1e-06,5e-07,tt
1e-05,-0.05,1.6,0.950769911,5.68422542e-05,0.000119024598,0.000150204281,1.01350062e-05,5.73305326e-05,234475398.0,1e-06,5e-07,tt
1.5e-05,-0.05,1.6,0.873355014,6.93858529e-05,0.000119024598,0.000150204281,1.5054577e-05,6.96182209e-05,193090247.0,1e-06,5e-07,tt
2e-05,-0.05,1.6,0.807284562,7.94143016e-05,0.000119024598,0.000150204281,1.9978944e-05,7.93093394e-05,169495794.0,1e-06,5e-07,tt
2.5e-05,-0.05,1.6,0.748467434,8.77528623e-05,0.000119024598,0.000150204281,2.48792643e-05,8.71949123e-05,154167245.0,1e-06,5e-07,tt
3e-05,-0.05,1.6,0.694655519,9.48804609e-05,0.000119024598,0.000150204281,2.97499953e-05,9.37165831e-05,143438856.0,1e-06,5e-07,tt
5e-06,0.825,1.2375,1.05420693,3.91978726e-05,1.2928301e-07,3.43145121e-06,5.10063833e-06,3.98863459e-05,239982460000.0,1e-06,5e-07,tt
1e-05,0.825,1.2375,0.950769893,5.68422571e-05,1.2928301e-07,3.43145121e-06,1.01350072e-05,5.73305355e-05,166962045000.0,1e-06,5e-07,tt
1.5e-05,0.825,1.2375,0.873355014,6.93858529e-05,1.2928301e-07,3.43145121e-06,1.5054577e-05,6.96182209e-05,137493077000.0,1e-06,5e-07,tt
2e-05,0.825,1.2375,0.807284562,7.94143016e-05,1.2928301e-07,3.43145121e-06,1.9978944e-05,7.93093394e-05,120692260000.0,1e-06,5e-07,tt
2.5e-05,0.825,1.2375,0.748467434,8.77528623e-05,1.2928301e-07,3.43145121e-06,2.48792643e-05,8.71949123e-05,109777316000.0,1e-06,5e-07,tt
3e-05,0.825,1.2375,0.694655519,9.48804609e-05,1.2928301e-07,3.43145121e-06,2.97499953e-05,9.37165831e-05,102137990000.0,1e-06,5e-07,tt
5e-06,0.4125,1.2375,1.05420642,3.91979606e-05,1.35031059e-05,6.49670263e-05,5.10065868e-06,3.98864333e-05,2297663000.0,1e-06,5e-07,tt
1e-05,0.4125,1.2375,0.950769911,5.68422542e-05,1.35031059e-05,6.49670263e-05,1.01350062e-05,5.73305326e-05,1598547540.0,1e-06,5e-07,tt
1.5e-05,0.4125,1.2375,0.873355014,6.93858529e-05,1.35031059e-05,6.49670263e-05,1.5054577e-05,6.96182209e-05,1316402240.0,1e-06,5e-07,tt
2e-05,0.4125,1.2375,0.807284562,7.94143016e-05,1.35031059e-05,6.49670263e-05,1.9978944e-05,7.93093394e-05,1155545900.0,1e-06,5e-07,tt
2.5e-05,0.4125,1.2375,0.748467434,8.77528623e-05,1.35031059e-05,6.49670263e-05,2.48792643e-05,8.71949123e-05,1051042770.0,1e-06,5e-07,tt
3e-05,0.4125,1.2375,0.694655519,9.48804609e-05,1.35031059e-05,6.49670263e-05,2.97499953e-05,9.37165831e-05,977901442.0,1e-06,5e-07,tt
5e-06,0.0,1.2375,1.05420642,3.91979606e-05,5.16461307e-05,0.000115543768,5.10065868e-06,3.98864333e-05,600734004.0,1e-06,5e-07,tt
1e-05,0.0,1.2375,0.950769911,5.68422542e-05,5.16461307e-05,0.000115543768,1.01350062e-05,5.73305326e-05,417947220.0,1e-06,5e-07,tt
1.5e-05,0.0,1.2375,0.873355014,6.93858529e-05,5.16461307e-05,0.000115543768,1.5054577e-05,6.96182209e-05,344179102.0,1e-06,5e-07,tt
2e-05,0.0,1.2375,0.807284562,7.94143016e-05,5.16461307e-05,0.000115543768,1.9978944e-05,7.93093394e-05,302122511.0,1e-06,5e-07,tt
2.5e-05,0.0,1.2375,0.748467434,8.77528623e-05,5.16461307e-05,0.000115543768,2.48792643e-05,8.71949123e-05,274799711.0,1e-06,5e-07,tt
3e-05,0.0,1.2375,0.694655519,9.48804609e-05,5.16461307e-05,0.000115543768,2.97499953e-05,9.37165831e-05,255676594.0,1e-06,5e-07,tt
5e-06,-0.4125,1.2375,1.05420642,3.91979606e-05,0.000104755765,0.000136549385,5.10065868e-06,3.98864333e-05,296170688.0,1e-06,5e-07,tt
1e-05,-0.4125,1.2375,0.950769911,5.68422542e-05,0.000104755765,0.000136549385,1.01350062e-05,5.73305326e-05,206054118.0,1e-06,5e-07,tt
1.5e-05,-0.4125,1.2375,0.873355014,6.93858529e-05,0.000104755765,0.000136549385,1.5054577e-05,6.96182209e-05,169685353.0,1e-06,5e-07,tt
2e-05,-0.4125,1.2375,0.807284562,7.94143016e-05,0.000104755765,0.000136549385,1.9978944e-05,7.93093394e-05,148950835.0,1e-06,5e-07,tt
2.5e-05,-0.4125,1.2375,0.748467434,8.77528623e-05,0.000104755765,0.000136549385,2.48792643e-05,8.71949123e-05,135480294.0,1e-06,5e-07,tt
3e-05,-0.4125,1.2375,0.694655519,9.48804609e-05,0.000104755765,0.000136549385,2.97499953e-05,9.37165831e-05,126052316.0,1e-06,5e-07,tt
5e-06,0.4125,0.825,1.05420693,3.91978726e-05,2.22423472e-08,6.95110562e-07,5.10063833e-06,3.98863459e-05,929927479000.0,1e-06,5e-07,tt
1e-05,0.4125,0.825,0.950769893,5.68422571e-05,2.22423472e-08,6.95110562e-07,1.01350072e-05,5.73305355e-05,646974754000.0,1e-06,5e-07,tt
1.5e-05,0.4125,0.825,0.873355014,6.93858529e-05,2.22423472e-08,6.95110562e-07,1.5054577e-05,6.96182209e-05,532783065000.0,1e-06,5e-07,tt
2e-05,0.4125,0.825,0.807284562,7.94143016e-05,2.22423472e-08,6.95110562e-07,1.9978944e-05,7.93093394e-05,467680218000.0,1e-06,5e-07,tt
2.5e-05,0.4125,0.825,0.748467434,8.77528623e-05,2.22423472e-08,6.95110562e-07,2.48792643e-05,8.71949123e-05,425385015000.0,1e-06,5e-07,tt
3e-05,0.4125,0.825,0.694655519,9.48804609e-05,2.22423472e-08,6.95110562e-07,2.97499953e-05,9.37165831e-05,395782772000.0,1e-06,5e-07,tt
5e-06,-1.11022302e-16,0.825,1.05420642,3.91979606e-05,9.48278885e-06,5.29650015e-05,5.10065868e-06,3.98864333e-05,2181185820.0,1e-06,5e-07,tt
1e-05,-1.11022302e-16,0.825,0.950769911,5.68422542e-05,9.48278885e-06,5.29650015e-05,1.01350062e-05,5.73305326e-05,1517511150.0,1e-06,5e-07,tt
1.5e-05,-1.11022302e-16,0.825,0.873355014,6.93858529e-05,9.48278885e-06,5.29650015e-05,1.5054577e-05,6.96182209e-05,1249668860.0,1e-06,5e-07,tt
2e-05,-1.11022302e-16,0.825,0.807284562,7.94143016e-05,9.48278885e-06,5.29650015e-05,1.9978944e-05,7.93093394e-05,1096966930.0,1e-06,5e-07,tt
2.5e-05,-1.11022302e-16,0.825,0.748467434,8.77528623e-05,9.48278885e-06,5.29650015e-05,2.48792643e-05,8.71949123e-05,997761455.0,1e-06,5e-07,tt
3e-05,-1.11022302e-16,0.825,0.694655519,9.48804609e-05,9.48278885e-06,5.29650015e-05,2.97499953e-05,9.37165831e-05,928327941.0,1e-06,5e-07,tt
5e-06,-0.4125,0.825,1.05420642,3.91979606e-05,4.23789966e-05,0.000100905137,5.10065868e-06,3.98864333e-05,488065463.0,1e-06,5e-07,tt
1e-05,-0.4125,0.825,0.950769911,5.68422542e-05,4.23789966e-05,0.000100905137,1.01350062e-05,5.73305326e-05,339560608.0,1e-06,5e-07,tt
1.5e-05,-0.4125,0.825,0.873355014,6.93858529e-05,4.23789966e-05,0.000100905137,1.5054577e-05,6.96182209e-05,279627808.0,1e-06,5e-07,tt
2e-05,-0.4125,0.825,0.807284562,7.94143016e-05,4.23789966e-05,0.000100905137,1.9978944e-05,7.93093394e-05,245458992.0,1e-06,5e-07,tt
2.5e-05,-0.4125,0.825,0.748467434,8.77528623e-05,4.23789966e-05,0.000100905137,2.48792643e-05,8.71949123e-05,223260624.0,1e-06,5e-07,tt
3e-05,-0.4125,0.825,0.694655519,9.48804609e-05,4.23789966e-05,0.000100905137,2.97499953e-05,9.37165831e-05,207724075.0,1e-06,5e-07,tt
5e-06,-0.825,0.825,1.05420642,3.91979606e-05,8.62374611e-05,0.000103846477,5.10065868e-06,3.98864333e-05,239846168.0,1e-06,5e-07,tt
1e-05,-0.825,0.825,0.950769911,5.68422542e-05,8.62374611e-05,0.000103846477,1.01350062e-05,5.73305326e-05,166867596.0,1e-06,5e-07,tt
1.5e-05,-0.825,0.825,0.873355014,6.93858529e-05,8.62374611e-05,0.000103846477,1.5054577e-05,6.96182209e-05,137415292.0,1e-06,5e-07,tt
2e-05,-0.825,0.825,0.807284562,7.94143016e-05,8.62374611e-05,0.000103846477,1.9978944e-05,7.93093394e-05,120623980.0,1e-06,5e-07,tt
2.5e-05,-0.825,0.825,0.748467434,8.77528623e-05,8.62374611e-05,0.000103846477,2.48792643e-05,8.71949123e-05,109715211.0,1e-06,5e-07,tt
3e-05,-0.825,0.825,0.694655519,9.48804609e-05,8.62374611e-05,0.000103846477,2.97499953e-05,9.37165831e-05,102080207.0,1e-06,5e-07,tt
5e-06,-5.5511151199999996e-17,0.4125,1.05420693,3.91978726e-05,3.9009372e-09,1.27115135e-07,5.10063833e-06,3.98863459e-05,2651128280000.0,1e-06,5e-07,tt
1e-05,-5.5511151199999996e-17,0.4125,0.950769893,5.68422571e-05,3.9009372e-09,1.27115135e-07,1.01350072e-05,5.73305355e-05,1844458960000.0,1e-06,5e-07,tt
1.5e-05,-5.5511151199999996e-17,0.4125,0.873355014,6.93858529e-05,3.9009372e-09,1.27115135e-07,1.5054577e-05,6.96182209e-05,1518910110000.0,1e-06,5e-07,tt
2e-05,-5.5511151199999996e-17,0.4125,0.807284562,7.94143016e-05,3.9009372e-09,1.27115135e-07,1.9978944e-05,7.93093394e-05,1333308540000.0,1e-06,5e-07,tt
2.5e-05,-5.5511151199999996e-17,0.4125,0.748467434,8.77528623e-05,3.9009372e-09,1.27115135e-07,2.48792643e-05,8.71949123e-05,1212729240000.0,1e-06,5e-07,tt
3e-05,-5.5511151199999996e-17,0.4125,0.694655519,9.48804609e-05,3.9009372e-09,1.27115135e-07,2.97499953e-05,9.37165831e-05,1128336270000.0,1e-06,5e-07,tt
5e-06,-0.4125,0.4125,1.05420642,3.91979606e-05,6.43948193e-06,4.15275133e-05,5.10065868e-06,3.98864333e-05,1606008430.0,1e-06,5e-07,tt
1e-05,-0.4125,0.4125,0.950769911,5.68422542e-05,6.43948193e-06,4.15275133e-05,1.01350062e-05,5.73305326e-05,1117344380.0,1e-06,5e-07,tt
1.5e-05,-0.4125,0.4125,0.873355014,6.93858529e-05,6.43948193e-06,4.15275133e-05,1.5054577e-05,6.96182209e-05,920131934.0,1e-06,5e-07,tt
2e-05,-0.4125,0.4125,0.807284562,7.94143016e-05,6.43948193e-06,4.15275133e-05,1.9978944e-05,7.93093394e-05,807697413.0,1e-06,5e-07,tt
2.5e-05,-0.4125,0.4125,0.748467434,8.77528623e-05,6.43948193e-06,4.15275133e-05,2.48792643e-05,8.71949123e-05,734652361.0,1e-06,5e-07,tt
3e-05,-0.4125,0.4125,0.694655519,9.48804609e-05,6.43948193e-06,4.15275133e-05,2.97499953e-05,9.37165831e-05,683528422.0,1e-06,5e-07,tt
5e-06,-0.825,0.4125,1.05420642,3.91979606e-05,3.05443541e-05,6.30697686e-05,5.10065868e-06,3.98864333e-05,338585071.0,1e-06,5e-07,tt
1e-05,-0.825,0.4125,0.950769911,5.68422542e-05,3.05443541e-05,6.30697686e-05,1.01350062e-05,5.73305326e-05,235562975.0,1e-06,5e-07,tt
1.5e-05,-0.825,0.4125,0.873355014,6.93858529e-05,3.05443541e-05,6.30697686e-05,1.5054577e-05,6.96182209e-05,193985865.0,1e-06,5e-07,tt
