i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,1.2375,1.65,0.918240195,2.87272088e-05,1.41033376e-07,3.20210039e-06,5.01990284e-06,2.88321346e-05,405774962000.0,1e-06,1e-06,ss
1e-05,1.2375,1.65,0.775243784,4.04231174e-05,1.41033376e-07,3.20210039e-06,9.98163632e-06,4.03397126e-05,290020865000.0,1e-06,1e-06,ss
1.5e-05,1.2375,1.65,0.663991597,4.85997933e-05,1.41033376e-07,3.20210039e-06,1.49166652e-05,4.81929375e-05,242760847000.0,1e-06,1e-06,ss
2e-05,1.2375,1.65,0.568474688,5.49294796e-05,1.41033376e-07,3.20210039e-06,1.98029008e-05,5.39486388e-05,216861048000.0,1e-06,1e-06,ss
2.5e-05,1.2375,1.65,0.482491285,6.01002805e-05,1.41033376e-07,3.20210039e-06,2.46299167e-05,5.81580186e-05,201165009000.0,1e-06,1e-06,ss
3e-05,1.2375,1.65,0.403114596,6.44580045e-05,1.41033376e-07,3.20210039e-06,2.93676412e-05,6.10390378e-05,191670097000.0,1e-06,1e-06,ss
5e-06,0.825,1.65,0.918239902,2.87272339e-05,8.22440321e-06,3.70967685e-05,5.01991129e-06,2.88321594e-05,6958287680.0,1e-06,1e-06,ss
1e-05,0.825,1.65,0.775243784,4.04231174e-05,8.22440321e-06,3.70967685e-05,9.98163632e-06,4.03397125e-05,4973323970.0,1e-06,1e-06,ss
1.5e-05,0.825,1.65,0.663991597,4.85997933e-05,8.22440321e-06,3.70967685e-05,1.49166652e-05,4.81929375e-05,4162901660.0,1e-06,1e-06,ss
2e-05,0.825,1.65,0.568474688,5.49294796e-05,8.22440321e-06,3.70967685e-05,1.98029008e-05,5.39486388e-05,3718767780.0,1e-06,1e-06,ss
2.5e-05,0.825,1.65,0.482491285,6.01002805e-05,8.22440321e-06,3.70967685e-05,2.46299167e-05,5.81580186e-05,3449609600.0,1e-06,1e-06,ss
3e-05,0.825,1.65,0.403114596,6.44580045e-05,8.22440321e-06,3.70967685e-05,2.93676412e-05,6.10390378e-05,3286789350.0,1e-06,1e-06,ss
5e-06,0.4125,1.65,0.918239902,2.87272339e-05,2.9601152e-05,6.46150616e-05,5.01991129e-06,2.88321594e-05,1933295150.0,1e-06,1e-06,ss
1e-05,0.4125,1.65,0.775243784,4.04231174e-05,2.9601152e-05,6.46150616e-05,9.98163632e-06,4.03397126e-05,1381791550.0,1e-06,1e-06,ss
1.5e-05,0.4125,1.65,0.663991597,4.85997933e-05,2.9601152e-05,6.46150616e-05,1.49166652e-05,4.81929375e-05,1156623290.0,1e-06,1e-06,ss
2e-05,0.4125,1.65,0.568474688,5.49294796e-05,2.9601152e-05,6.46150616e-05,1.98029008e-05,5.39486388e-05,1033224840.0,1e-06,1e-06,ss
2.5e-05,0.4125,1.65,0.482491285,6.01002805e-05,2.9601152e-05,6.46150616e-05,2.46299167e-05,5.81580186e-05,958441761.0,1e-06,1e-06,ss
3e-05,0.4125,1.65,0.403114596,6.44580045e-05,2.9601152e-05,6.46150616e-05,2.93676412e-05,6.10390378e-05,913203677.0,1e-06,1e-06,ss
5e-06,0.0,1.65,0.918239902,2.87272339e-05,6.0072227e-05,8.14927888e-05,5.01991129e-06,2.88321594e-05,952649276.0,1e-06,1e-06,ss
1e-05,0.0,1.65,0.775243784,4.04231174e-05,6.0072227e-05,8.14927888e-05,9.98163632e-06,4.03397125e-05,680890716.0,1e-06,1e-06,ss
1.5e-05,0.0,1.65,0.663991597,4.85997933e-05,6.0072227e-05,8.14927888e-05,1.49166652e-05,4.81929375e-05,569936949.0,1e-06,1e-06,ss
2e-05,0.0,1.65,0.568474688,5.49294796e-05,6.0072227e-05,8.14927888e-05,1.98029008e-05,5.39486388e-05,509131211.0,1e-06,1e-06,ss
2.5e-05,0.0,1.65,0.482491285,6.01002805e-05,6.0072227e-05,8.14927888e-05,2.46299167e-05,5.81580186e-05,472281148.0,1e-06,1e-06,ss
3e-05,0.0,1.65,0.403114596,6.44580045e-05,6.0072227e-05,8.14927888e-05,2.93676412e-05,6.10390378e-05,449989658.0,1e-06,1e-06,ss
5e-06,1.1875,1.6,0.918240195,2.87272088e-05,1.1402791e-07,2.72208298e-06,5.01990284e-06,2.88321346e-05,486667140000.0,1e-06,1e-06,ss
1e-05,1.1875,1.6,0.775243784,4.04231174e-05,1.1402791e-07,2.72208298e-06,9.98163632e-06,4.03397126e-05,347837195000.0,1e-06,1e-06,ss
1.5e-05,1.1875,1.6,0.663991597,4.85997933e-05,1.1402791e-07,2.72208298e-06,1.49166652e-05,4.81929375e-05,291155783000.0,1e-06,1e-06,ss
2e-05,1.1875,1.6,0.568474688,5.49294796e-05,1.1402791e-07,2.72208298e-06,1.98029008e-05,5.39486388e-05,260092799000.0,1e-06,1e-06,ss
2.5e-05,1.1875,1.6,0.482491285,6.01002805e-05,1.1402791e-07,2.72208298e-06,2.46299167e-05,5.81580186e-05,241267719000.0,1e-06,1e-06,ss
3e-05,1.1875,1.6,0.403114596,6.44580045e-05,1.1402791e-07,2.72208298e-06,2.93676412e-05,6.10390378e-05,229879975000.0,1e-06,1e-06,ss
5e-06,0.775,1.6,0.918239902,2.87272339e-05,7.85765411e-06,3.61849418e-05,5.01991129e-06,2.88321594e-05,7062360870.0,1e-06,1e-06,ss
1e-05,0.775,1.6,0.775243784,4.04231174e-05,7.85765411e-06,3.61849418e-05,9.98163632e-06,4.03397125e-05,5047708610.0,1e-06,1e-06,ss
1.5e-05,0.775,1.6,0.663991597,4.85997933e-05,7.85765411e-06,3.61849418e-05,1.49166652e-05,4.81929375e-05,4225165030.0,1e-06,1e-06,ss
2e-05,0.775,1.6,0.568474688,5.49294796e-05,7.85765411e-06,3.61849418e-05,1.98029008e-05,5.39486388e-05,3774388360.0,1e-06,1e-06,ss
2.5e-05,0.775,1.6,0.482491285,6.01002805e-05,7.85765411e-06,3.61849418e-05,2.46299167e-05,5.81580186e-05,3501204460.0,1e-06,1e-06,ss
3e-05,0.775,1.6,0.403114596,6.44580045e-05,7.85765411e-06,3.61849418e-05,2.93676412e-05,6.10390378e-05,3335948950.0,1e-06,1e-06,ss
5e-06,0.3625,1.6,0.918239902,2.87272339e-05,2.88929372e-05,6.38903824e-05,5.01991129e-06,2.88321594e-05,1920662770.0,1e-06,1e-06,ss
1e-05,0.3625,1.6,0.775243784,4.04231174e-05,2.88929372e-05,6.38903824e-05,9.98163632e-06,4.03397126e-05,1372762760.0,1e-06,1e-06,ss
1.5e-05,0.3625,1.6,0.663991597,4.85997933e-05,2.88929372e-05,6.38903824e-05,1.49166652e-05,4.81929375e-05,1149065780.0,1e-06,1e-06,ss
2e-05,0.3625,1.6,0.568474688,5.49294796e-05,2.88929372e-05,6.38903824e-05,1.98029008e-05,5.39486388e-05,1026473630.0,1e-06,1e-06,ss
2.5e-05,0.3625,1.6,0.482491285,6.01002805e-05,2.88929372e-05,6.38903824e-05,2.46299167e-05,5.81580186e-05,952179193.0,1e-06,1e-06,ss
3e-05,0.3625,1.6,0.403114596,6.44580045e-05,2.88929372e-05,6.38903824e-05,2.93676412e-05,6.10390378e-05,907236700.0,1e-06,1e-06,ss
5e-06,-0.05,1.6,0.918239902,2.87272339e-05,5.90948716e-05,8.08615295e-05,5.01991129e-06,2.88321594e-05,939059302.0,1e-06,1e-06,ss
1e-05,-0.05,1.6,0.775243784,4.04231174e-05,5.90948716e-05,8.08615295e-05,9.98163632e-06,4.03397125e-05,671177502.0,1e-06,1e-06,ss
1.5e-05,-0.05,1.6,0.663991597,4.85997933e-05,5.90948716e-05,8.08615295e-05,1.49166652e-05,4.81929375e-05,561806540.0,1e-06,1e-06,ss
2e-05,-0.05,1.6,0.568474688,5.49294796e-05,5.90948716e-05,8.08615295e-05,1.98029008e-05,5.39486388e-05,501868223.0,1e-06,1e-06,ss
2.5e-05,-0.05,1.6,0.482491285,6.01002805e-05,5.90948716e-05,8.08615295e-05,2.46299167e-05,5.81580186e-05,465543843.0,1e-06,1e-06,ss
3e-05,-0.05,1.6,0.403114596,6.44580045e-05,5.90948716e-05,8.08615295e-05,2.93676412e-05,6.10390378e-05,443570352.0,1e-06,1e-06,ss
5e-06,0.825,1.2375,0.918240195,2.87272088e-05,2.16538903e-08,6.59877588e-07,5.01990284e-06,2.88321346e-05,1982131570000.0,1e-06,1e-06,ss
1e-05,0.825,1.2375,0.775243784,4.04231174e-05,2.16538903e-08,6.59877588e-07,9.98163632e-06,4.03397126e-05,1416695380000.0,1e-06,1e-06,ss
1.5e-05,0.825,1.2375,0.663991597,4.85997933e-05,2.16538903e-08,6.59877588e-07,1.49166652e-05,4.81929375e-05,1185839400000.0,1e-06,1e-06,ss
2e-05,0.825,1.2375,0.568474688,5.49294796e-05,2.16538903e-08,6.59877588e-07,1.98029008e-05,5.39486388e-05,1059323930000.0,1e-06,1e-06,ss
2.5e-05,0.825,1.2375,0.482491285,6.01002805e-05,2.16538903e-08,6.59877588e-07,2.46299167e-05,5.81580186e-05,982651845000.0,1e-06,1e-06,ss
3e-05,0.825,1.2375,0.403114596,6.44580045e-05,2.16538903e-08,6.59877588e-07,2.93676412e-05,6.10390378e-05,936271054000.0,1e-06,1e-06,ss
5e-06,0.4125,1.2375,0.918239902,2.87272339e-05,5.6667705e-06,3.01722852e-05,5.01991129e-06,2.88321594e-05,7574124040.0,1e-06,1e-06,ss
1e-05,0.4125,1.2375,0.775243784,4.04231174e-05,5.6667705e-06,3.01722852e-05,9.98163632e-06,4.03397125e-05,5413483090.0,1e-06,1e-06,ss
1.5e-05,0.4125,1.2375,0.663991597,4.85997933e-05,5.6667705e-06,3.01722852e-05,1.49166652e-05,4.81929375e-05,4531335140.0,1e-06,1e-06,ss
2e-05,0.4125,1.2375,0.568474688,5.49294796e-05,5.6667705e-06,3.01722852e-05,1.98029008e-05,5.39486388e-05,4047893640.0,1e-06,1e-06,ss
2.5e-05,0.4125,1.2375,0.482491285,6.01002805e-05,5.6667705e-06,3.01722852e-05,2.46299167e-05,5.81580186e-05,3754913880.0,1e-06,1e-06,ss
3e-05,0.4125,1.2375,0.403114596,6.44580045e-05,5.6667705e-06,3.01722852e-05,2.93676412e-05,6.10390378e-05,3577683390.0,1e-06,1e-06,ss
5e-06,0.0,1.2375,0.918239902,2.87272339e-05,2.43714985e-05,5.87262174e-05,5.01991129e-06,2.88321594e-05,1761107250.0,1e-06,1e-06,ss
1e-05,0.0,1.2375,0.775243784,4.04231174e-05,2.43714985e-05,5.87262174e-05,9.98163632e-06,4.03397126e-05,1258723020.0,1e-06,1e-06,ss
1.5e-05,0.0,1.2375,0.663991597,4.85997933e-05,2.43714985e-05,5.87262174e-05,1.49166652e-05,4.81929375e-05,1053609250.0,1e-06,1e-06,ss
2e-05,0.0,1.2375,0.568474688,5.49294796e-05,2.43714985e-05,5.87262174e-05,1.98029008e-05,5.39486388e-05,941201225.0,1e-06,1e-06,ss
2.5e-05,0.0,1.2375,0.482491285,6.01002805e-05,2.43714985e-05,5.87262174e-05,2.46299167e-05,5.81580186e-05,873078658.0,1e-06,1e-06,ss
3e-05,0.0,1.2375,0.403114596,6.44580045e-05,2.43714985e-05,5.87262174e-05,2.93676412e-05,6.10390378e-05,831869680.0,1e-06,1e-06,ss
5e-06,-0.4125,1.2375,0.918239902,2.87272339e-05,5.24378798e-05,7.49454386e-05,5.01991129e-06,2.88321594e-05,818507972.0,1e-06,1e-06,ss
1e-05,-0.4125,1.2375,0.775243784,4.04231174e-05,5.24378798e-05,7.49454386e-05,9.98163632e-06,4.03397125e-05,585015381.0,1e-06,1e-06,ss
1.5e-05,-0.4125,1.2375,0.663991597,4.85997933e-05,5.24378798e-05,7.49454386e-05,1.49166652e-05,4.81929375e-05,489684869.0,1e-06,1e-06,ss
2e-05,-0.4125,1.2375,0.568474688,5.49294796e-05,5.24378798e-05,7.49454386e-05,1.98029008e-05,5.39486388e-05,437441108.0,1e-06,1e-06,ss
2.5e-05,-0.4125,1.2375,0.482491285,6.01002805e-05,5.24378798e-05,7.49454386e-05,2.46299167e-05,5.81580186e-05,405779854.0,1e-06,1e-06,ss
3e-05,-0.4125,1.2375,0.403114596,6.44580045e-05,5.24378798e-05,7.49454386e-05,2.93676412e-05,6.10390378e-05,386627200.0,1e-06,1e-06,ss
5e-06,0.4125,0.825,0.918240195,2.87272088e-05,3.12442923e-09,1.03283291e-07,5.01990284e-06,2.88321346e-05,9158122740000.0,1e-06,1e-06,ss
1e-05,0.4125,0.825,0.775243784,4.04231174e-05,3.12442923e-09,1.03283291e-07,9.98163632e-06,4.03397126e-05,6545614990000.0,1e-06,1e-06,ss
1.5e-05,0.4125,0.825,0.663991597,4.85997933e-05,3.12442923e-09,1.03283291e-07,1.49166652e-05,4.81929375e-05,5478981790000.0,1e-06,1e-06,ss
2e-05,0.4125,0.825,0.568474688,5.49294796e-05,3.12442923e-09,1.03283291e-07,1.98029008e-05,5.39486388e-05,4894437250000.0,1e-06,1e-06,ss
